# 编码	词频（wordfreq 英文 Zipf × 1000）
arbitrates	1290
arbitrating	1640
arbitration	3720
arbitrator	2980
arbitrators	2510
arbor	3490
arbors	2050
arbour	2250
arbours	1130
arc	4210
arcade	3730
arcades	2770
arcane	2990
arced	1910
arch	4019
archaeological	3680
archaeologist	3120
archaeologists	3370
archaeology	3570
archaic	3360
archbishop	3820
archbishops	2540
arched	3240
archer	3810
archers	3290
archery	3250
arches	3450
archetypal	2880
arching	2710
archipelago	3330
archipelagos	1860
architect	4080
architects	3910
architectural	3960
architecture	4420
architectures	3020
archive	3980
archived	3400
archives	4100
archiving	2730
archway	2670
archways	2090
arcing	2450
arcs	3260
ardent	3280
ardently	2440
ardor	2340
ardors	0
ardour	2250
ardours	0
arduous	3180
arduously	1500
are	6740
area	5460
areas	5150
arena	4330
arenas	3280
ares	3090
arguable	2660
arguably	3900
argue	4460
argued	4360
argues	4040
arguing	4250
argument	4640
argumentative	2890
arguments	4330
aria	3390
arias	3100
arid	3370
arise	3930
arisen	3200
arises	3610
arising	3720
aristocracies	1490
aristocracy	3210
aristocrat	2990
aristocratic	3230
aristocrats	2960
arithmetic	3400
ark	3750
arks	2020
arm	4730
armadillo	2700
armadillos	2140
armament	3040
armaments	2950
armchair	3210
armchairs	2440
armed	4590
armies	3900
arming	3140
armistice	3220
armistices	1050
armor	3970
armored	3620
armories	2140
armoring	1740
armors	2200
armory	3220
armour	3750
armoured	3340
armouries	1800
armouring	1410
armours	1720
armoury	2730
armpit	3000
armpits	2870
arms	4820
army	5060
aroma	3230
aromas	2630
aromatic	3320
aromatics	2420
arose	3730
around	5770
arouse	2900
aroused	3350
arouses	2360
arousing	2830
arraign	1770
arraigned	2730
arraigning	1050
arraigns	1180
arrange	4000
arranged	4310
arrangement	4250
arrangements	4230
arranges	2900
arranging	3550
array	4100
arrayed	2570
arraying	1220
arrays	3290
arrears	3050
arrest	4550
arrested	4640
arresting	3500
arrests	3740
arrival	4440
arrivals	3480
arrive	4380
arrived	4790
arrives	4110
arriving	4160
arrogance	3550
arrogant	3740
arrogantly	2440
arrow	4130
arrows	3800
arse	3570
arsenal	4310
arsenals	2600
arsenic	3230
arses	2470
arson	3400
art	5290
artefact	2700
artefacts	3190
arterial	3250
arteries	3460
artery	3650
artful	2880
arthritic	2450
arthritics	0
arthritis	3610
artichoke	2730
artichokes	2590
article	5090
articles	4710
articulate	3540
articulated	3390
articulately	1770
articulates	2570
articulating	2850
articulation	3090
articulations	2180
artifact	3410
artifacts	3720
artifice	2580
artifices	1610
artificial	4240
artificially	3440
artillery	3960
artisan	3260
artisans	3250
artist	4800
artistic	4170
artistically	2920
artistry	3120
artists	4670
arts	4700
artwork	4110
as	6770
asbestos	3540
ascend	3240
ascended	3300
ascending	3310
ascends	2680
ascension	3340
ascensions	1750
ascent	3420
ascents	2450
ascertain	3290
ascertained	2790
ascertaining	2370
ascertains	1410
ascetic	2810
ascetics	2220
ascribe	2750
ascribed	3040
ascribes	2250
ascribing	2260
asexual	2910
ash	4160
ashamed	4059
ashen	2480
ashes	3930
ashore	3520
ashtray	2720
ashtrays	2310
asian	4690
asians	3460
aside	4590
asides	2580
ask	5340
askance	2100
asked	5300
askew	2720
asking	4960
asks	4440
asleep	4360
asparagus	3250
aspect	4410
aspects	4500
aspen	3430
aspens	1870
aspersion	1480
aspersions	2280
asphalt	3530
asphalted	1590
asphalting	1160
asphalts	1210
asphyxiate	1780
asphyxiated	2090
asphyxiates	0
asphyxiating	1840
asphyxiation	2650
asphyxiations	0
aspirant	2620
aspirants	2680
aspiration	3300
aspirations	3660
aspire	3470
aspired	2830
aspires	2810
aspirin	3340
aspiring	3560
aspirins	1570
ass	5000
assail	2110
assailant	3090
assailants	2890
assailed	2520
assailing	1850
assails	1840
assassin	3660
assassinate	3200
assassinated	3390
assassinates	1740
assassinating	2510
assassination	3820
assassinations	2990
assassins	3420
assault	4440
assaulted	3750
assaulting	3360
assaults	3480
assemble	3640
assembled	3960
assembler	2690
assemblers	2260
assembles	2660
assemblies	3480
assembling	3330
assembly	4610
assent	3030
assented	2110
assenting	1480
assents	1470
assert	3620
asserted	3590
asserting	3350
assertion	3630
assertions	3270
assertive	3190
asserts	3380
asses	3790
assess	4070
assessed	3900
assesses	2930
assessing	3740
assessment	4460
assessments	3790
assessor	2880
assessors	2650
asset	4230
assets	4560
assign	3660
assigned	4390
assigning	3280
assignment	4180
assignments	3880
assigns	3230
assimilate	3050
assimilated	3070
assimilates	1920
assimilating	2490
assimilation	3190
assist	4420
assistance	4590
assistant	4720
assistants	3680
assisted	4100
assisting	3790
assists	4030
associate	4390
associated	4890
associates	4140
associating	3130
association	5010
associations	4019
associative	2780
assorted	3280
assortment	3260
assortments	1950
assume	4570
assumed	4390
assumes	3780
assuming	4230
assumption	4070
assumptions	3950
assurance	3810
assurances	3320
assure	4059
assured	4070
assureds	0
assures	3230
assuring	3120
asterisk	3050
asterisked	1190
