# 青简领域词库：饮食，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
冰糖燕窝	bing tang yan wo	11
冰糖莲子	bing tang lian zi	2
冰糖莲子汤	bing tang lian zi tang	8
冰糖蒸鸡胆	bing tang zheng ji dan	4
冰糖金耳鸽蛋	bing tang jin er ge dan	4
冰糖银耳羹	bing tang yin er geng	8
冰结构蛋白	bing jie gou dan bai	2
冰花雪莲	bing hua xue lian	4
冰菜	bing cai	9
冰葫芦	bing hu lu	2
冰蓼花	bing liao hua	6
冰豌豆粉	bing wan dou fen	4
冰醋酸	bing cu suan	6
冰镇番茄汁	bing zhen fan qie zhi	4
冲糯米粉	chong nuo mi fen	4
决明子粥	jue ming zi zhou	7
决明子茶	jue ming zi cha	2
决明胶	jue ming jiao	4
冷冻牛肚	leng dong niu du	2
冷冻牛肝	leng dong niu gan	4
冷冻牛舌	leng dong niu she	2
冷冻鸭掌	leng dong ya zhang	3
冷啖杯	leng dan bei	1
冷粉	leng fen	4
冷锅鱼	leng guo yu	19
冻冻肉	dong dong rou	4
冻米糖	dong mi tang	3
冻糕	dong gao	5
冻豆腐金针	dong dou fu jin zhen	3
冻银鱼	dong yin yu	7
凉拌三色	liang ban san se	2
凉拌冬瓜	liang ban dong gua	2
凉拌折耳根	liang ban zhe er gen	38
凉拌海带	liang ban hai dai	10
凉拌牛肚	liang ban niu du	4
凉拌牛蒡	liang ban niu bang	1
凉拌猪耳	liang ban zhu er	2
凉拌皮蛋	liang ban pi dan	9
凉拌粉丝	liang ban fen si	7
凉拌红萝卜	liang ban hong luo bo	4
凉拌芫荽	liang ban yan sui	4
凉拌苦瓜	liang ban ku gua	7
凉拌茭白	liang ban jiao bai	3
凉拌莲藕	liang ban lian ou	6
凉拌藕	liang ban ou	2
凉拌藕片	liang ban ou pian	3
凉拌豆腐	liang ban dou fu	6
凉拌豇豆	liang ban jiang dou	6
凉拌辣味螺	liang ban la wei luo	2
凉拌金针菇	liang ban jin zhen gu	1
凉拌鱼腥草	liang ban yu xing cao	7
凉拌鱿鱼	liang ban you yu	1
凉拌鸡丝	liang ban ji si	1
凉瓜排骨	liang gua pai gu	1
凉瓜浸田鸡	liang gua jin tian ji	3
凉瓜炒蛋	liang gua chao dan	3
凉瓜牛肉	liang gua niu rou	1
凉皮子	liang pi zi	3
凉粉鲫鱼	liang fen ji yu	3
凉糍粑	liang ci ba	7
凉蛋糕	liang dan gao	5
凉豌豆粉	liang wan dou fen	5
凉鸡米线	liang ji mi xian	8
凌云白毫	ling yun bai hao	9
凤凰出世	feng huang chu shi	1
凤凰展翅	feng huang zhan chi	14
凤凰水仙茶	feng huang shui xian cha	6
凤凰社饭	feng huang she fan	5
凤凰萝卜	feng huang luo bo	3
凤凰趴窝	feng huang pa wo	4
凤凰鱼翅	feng huang yu chi	6
凤凰鱼肚	feng huang yu du	2
凤吞翅	feng tun chi	5
凤尾吐司虾片	feng wei tu si xia pian	5
凤尾烧卖	feng wei shao mai	6
凤尾烧麦	feng wei shao mai	5
凤尾群翅	feng wei qun chi	4
凤尾腰花	feng wei yao hua	4
凤尾虾排	feng wei xia pai	6
凤尾酥	feng wei su	8
凤尾金鱼	feng wei jin yu	5
凤尾鱼罐头	feng wei yu guan tou	8
凤尾鱼翅	feng wei yu chi	7
凤庆粑粑卷	feng qing ba ba juan	3
凤戏牡丹	feng xi mu dan	1
凤梨烩排骨	feng li hui pai gu	5
凤梨罐头	feng li guan tou	23
凤梨蟹柳	feng li xie liu	2
凤炖牡丹	feng dun mu dan	5
凤眼秋波	feng yan qiu bo	5
凤穿金衣	feng chuan jin yi	3
凤翔腊驴肉	feng xiang la lv rou	8
凤翔豆花	feng xiang dou hua	4
凤翔豆花泡馍	feng xiang dou hua pao mo	3
凤阳酿豆腐	feng yang niang dou fu	7
凯司令蛋糕	kai si ling dan gao	3
凯撒沙律	kai sa sha lv	6
凯撒沙拉	kai sa sha la	5
出口马蹄	chu kou ma ti	4
刀切糍	dao qie ci	7
刀切酥	dao qie su	5
刀削油泼面	dao xiao you po mian	3
刀拔面	dao ba mian	6
刀狼	dao lang	13
刀鱼羹卤子面	dao yu geng lu zi mian	3
刈包	yi bao	17
利口葡萄酒	li kou pu tao jiu	1
利嘉	li jia	47
制川乌	zhi chuan wu	11
刷把头	shua ba tou	9
刺云实胶	ci yun shi jiao	3
刺五加	ci wu jia	1
刺猬包	ci wei bao	1
刺玫瑰	ci mei gui	4
刺菱角	ci ling jiao	4
刺龙牙	ci long ya	1
剁椒大白菜	duo jiao da bai cai	2
剁椒大鱼头	duo jiao da yu tou	5
剁椒小芋头	duo jiao xiao yu tou	4
剁椒胖鱼头	duo jiao pang yu tou	3
剁椒蒸芋头	duo jiao zheng yu tou	6
剁椒蒸芋头仔	duo jiao zheng yu tou zai	2
前菜七品	qian cai qi pin	4
前菜五品	qian cai wu pin	5
前菜四品	qian cai si pin	4
剑南春	jian nan chun	31
剔尖儿	ti jian er	4
力存	li cun	1
功德林蔬食处	gong de lin shu shi chu	5
加去	jia qu	13
加味二妙散	jia wei er miao san	6
加州庄园	jia zhou zhuang yuan	6
加蟹小笼包	jia xie xiao long bao	5
动物油	dong wu you	13
努力餐	nu li can	26
劲爆鸡米花	jin bao ji mi hua	10
劲脆鸡腿堡	jin cui ji tui bao	4
劲霸橙汁	jin ba cheng zhi	3
劲霸汤皇	jin ba tang huang	4
劲霸牛肉汁	jin ba niu rou zhi	3
劲霸辣椒汁	jin ba la jiao zhi	3
劲霸青芥辣	jin ba qing jie la	6
劲霸鲍鱼汁	jin ba bao yu zhi	4
劲霸鸡汁	jin ba ji zhi	7
勾魂面	gou hun mian	14
包浆豆腐	bao jiang dou fu	26
包烧鲜鱼	bao shao xian yu	5
包谷稀饭	bao gu xi fan	6
包谷粑	bao gu ba	9
包谷粑粑	bao gu ba ba	1
包饼油条	bao bing you tiao	4
化核加应子	hua he jia ying zi	5
北京水煮鱼	bei jing shui zhu yu	6
北京美晶	bei jing mei jing	3
北京蜜饯果脯	bei jing mi jian guo fu	2
北京辣菜	bei jing la cai	4
北方嘉宾	bei fang jia bin	3
北杏参地老鸭汤	bei xing shen di lao ya tang	3
北杏猪肺汤	bei xing zhu fei tang	4
北芪瘦肉	bei qi shou rou	3
十二台菜	shi er tai cai	5
十二烷基二甲基溴化铵	shi er wan ji er jia ji xiu hua an	2
十二酸乙酯	shi er suan yi zhi	3
十全大补汤	shi quan da bu tang	11
十全炆补汤	shi quan wen bu tang	2
十八烷酸	shi ba wan suan	3
十八街麻花	shi ba jie ma hua	7
十里香茶	shi li xiang cha	6
十香果	shi xiang guo	3
千层发糕	qian ceng fa gao	3
千层油糕	qian ceng you gao	10
千层牛肉饼	qian ceng niu rou bing	1
千层皮	qian ceng pi	5
千层糕	qian ceng gao	11
千层肉饼	qian ceng rou bing	1
千层蒸糕	qian ceng zheng gao	3
千层蛋	qian ceng dan	1
千层酥	qian ceng su	27
千层馒头	qian ceng man tou	6
千岛汁鸡球	qian dao zhi ji qiu	3
千岛湖红烧鱼头	qian dao hu hong shao yu tou	3
千张包子	qian zhang bao zi	8
千页糕	qian ye gao	5
午子仙毫	wu zi xian hao	9
午时粑	wu shi ba	5
午餐三明治	wu can san ming zhi	4
半胱氨酸盐酸盐	ban guang an suan yan suan yan	7
华凌	hua ling	3
华夫饼干	hua fu bing gan	4
华珍	hua zhen	7
华顶云雾茶	hua ding yun wu cha	7
卓资山熏鸡	zhuo zi shan xun ji	5
单县四君子酒	shan xian si jun zi jiu	4
单县羊肉汤	shan xian yang rou tang	2
单硬脂酸甘油酯	dan ying zhi suan gan you zhi	8
单辛酸甘油酯	dan xin suan gan you zhi	5
南乳小凤饼	nan ru xiao feng bing	2
南乳小排	nan ru xiao pai	3
南乳肉	nan ru rou	8
南京板鸭	nan jing ban ya	11
南京盐水鸭	nan jing yan shui ya	1
南京雨花茶	nan jing yu hua cha	8
南京香肚	nan jing xiang du	7
南北杏	nan bei xing	8
南国恋曲冰咖啡	nan guo lian qu bing ka fei	4
南宋定胜糕	nan song ding sheng gao	1
南山庄园	nan shan zhuang yuan	8
南山白毛茶	nan shan bai mao cha	6
南岳云雾茶	nan yue yun wu cha	8
南式细点	nan shi xi dian	3
南昌炒粉	nan chang chao fen	23
南昌米粉	nan chang mi fen	7
南沙饼	nan sha bing	6
南泌	nan bi	10
南浔香大头菜	nan xun xiang da tou cai	5
南海里水冬瓜	nan hai li shui dong gua	4
南涧锅巴豆粉	nan jian guo ba dou fen	5
南湖蟹粉	nan hu xie fen	5
南煎丸子	nan jian wan zi	8
南煎肝	nan jian gan	2
南瓜包	nan gua bao	6
南瓜咕老虾	nan gua gu lao xia	4
南瓜团子	nan gua tuan zi	7
南瓜小点	nan gua xiao dian	3
南瓜干儿糕	nan gua gan er gao	5
南瓜汤	nan gua tang	49
南瓜炒虾米	nan gua chao xia mi	1
南瓜花粥	nan gua hua zhou	2
南瓜蒸肉	nan gua zheng rou	3
南瓜鲜虾沙拉	nan gua xian xia sha la	4
南疆水晶无花果	nan jiang shui jing wu hua guo	3
南糯白毫	nan nuo bai hao	7
南美白对虾	nan mei bai dui xia	6
南翔小笼包	nan xiang xiao long bao	1
南翔小笼馒头	nan xiang xiao long man tou	9
南翔馒头	nan xiang man tou	10
南肉春笋	nan rou chun sun	6
南荠草莓饼	nan qi cao mei bing	5
南通文蛤	nan tong wen ge	2
南通油饼	nan tong you bing	2
南通甜包瓜	nan tong tian bao gua	3
南通跳面	nan tong tiao mian	5
南霞泥鳅粉干	nan xia ni qiu fen gan	4
博山烤肉	bo shan kao rou	5
博山烩菜	bo shan hui cai	5
博望锅盔	bo wang guo kui	6
博爱浆面条	bo ai jiang mian tiao	2
卡依之	ka yi zhi	7
卡夫奇妙酱	ka fu qi miao jiang	8
卡夫果珍	ka fu guo zhen	7
卡布基诺	ka bu ji nuo	5
卡布奇诺冰咖啡	ka bu qi nuo bing ka fei	2
卡布罗尔巴西烤肉	ka bu luo er ba xi kao rou	3
卡拉什尼科夫伏特加	ka la shi ni ke fu fu te jia	4
卡拉胶	ka la jiao	5
卡滋	ka zi	2
卡真调料	ka zhen tiao liao	2
卡蕾多儿	ka lei duo er	3
卡通蛋糕	ka tong dan gao	2
卢氏麻片	lu shi ma pian	2
卤什件儿	lu shi jian er	7
卤子鹅	lu zi e	7
卤斑鸠	lu ban jiu	5
卤水拼盘	lu shui pin pan	2
卤水鹅掌	lu shui e zhang	9
卤汁凉粉	lu zhi liang fen	3
卤汁豆干	lu zhi dou gan	4
卤牛肉	lu niu rou	43
卤米线	lu mi xian	3
卤肉夹锅魁	lu rou jia guo kui	6
卤肉锅盔	lu rou guo kui	2
卤肉锅魁	lu rou guo kui	5
卤豆腐	lu dou fu	8
卤饵丝	lu er si	1
卤饵块	lu er kuai	7
卤鸡蛋	lu ji dan	11
卤鸭翅	lu ya chi	4
卤鹌鹑蛋	lu an chun dan	7
卧龙戏珠	wo long xi zhu	3
印度咖喱焖羊腩	yin du ka li men yang nan	2
印度奶茶	yin du nai cha	1
印度香米饭	yin du xiang mi fan	5
印糕	yin gao	9
即食鲍鱼	ji shi bao yu	8
卵石鲜鱼汤	luan shi xian yu tang	6
卷煎	juan jian	1
卷筒粉	juan tong fen	9
卷筒蛋糕	juan tong dan gao	4
卷粉	juan fen	11
压合落	ya he luo	4
压韭茄子	ya jiu qie zi	5
厚德福	hou de fu	10
原只木瓜炖雪蛤	yuan zhi mu gua dun xue ge	3
原叶冰红茶	yuan ye bing hong cha	5
原味双皮奶	yuan wei shuang pi nai	4
原味腌制料	yuan wei yan zhi liao	4
原壳鲍鱼	yuan ke bao yu	9
原平锅魁	yuan ping guo kui	7
原盅炖北菇	yuan zhong dun bei gu	3
原笼牛肉	yuan long niu rou	4
原笼玉簪	yuan long yu zan	6
原笼粉蒸	yuan long fen zheng	5
厦门春饼	xia men chun bing	5
厦门沙茶面	xia men sha cha mian	5
厦门薄饼	xia men bao bing	6
去皮番茄罐头	qu pi fan qie guan tou	3
去皮酥	qu pi su	4
县前汤团	xian qian tang tuan	5
参婆千子	shen po qian zi	2
参果炖瘦肉	shen guo dun shou rou	2
参芪母鸡汤	shen qi mu ji tang	5
参芪炖白凤	shen qi dun bai feng	3
参芪红枣乳鸽汤	shen qi hong zao ru ge tang	4
参花茶	shen hua cha	8
参茸茶	shen rong cha	4
参茸葛仙米	shen rong ge xian mi	2
参茸鸡肉汤	shen rong ji rou tang	2
参蒸鳝段	shen zheng shan duan	4
参麦团鱼	shen mai tuan yu	5
参麦雪梨瘦肉汤	shen mai xue li shou rou tang	2
叉子火食	cha zi huo shi	4
叉烤鳜鱼	cha kao gui yu	5
叉烧包子	cha shao bao zi	1
叉烧炒面	cha shao chao mian	4
叉烧猪肉	cha shao zhu rou	4
叉烧酥	cha shao su	22
叉烧鱼	cha shao yu	6
叉烧鸡	cha shao ji	8
叉烧鸭	cha shao ya	7
叉烧鸭子	cha shao ya zi	4
及第粥	ji di zhou	3
双乙酸钠	shuang yi suan na	10
双仁浮皮	shuang ren fu pi	3
双味珍珠元子	shuang wei zhen zhu yuan zi	5
双孢蘑菇罐头	shuang bao mo gu guan tou	5
双层吉士汉堡	shuang ceng ji shi han bao	1
双林姑嫂饼	shuang lin gu sao bing	4
双桥毛尖	shuang qiao mao jian	5
双椒烘蛋	shuang jiao hong dan	3
双椒鸡	shuang jiao ji	8
双流老妈兔头	shuang liu lao ma tu tou	7
双烤肉	shuang kao rou	3
双球冰淇淋	shuang qiu bing qi lin	6
双皮刀鱼	shuang pi dao yu	9
双糯玫瑰糕	shuang nuo mei gui gao	4
双色核桃饼干	shuang se he tao bing gan	2
双色煎鱼	shuang se jian yu	4
双色玫瑰鱼	shuang se mei gui yu	5
双色糕	shuang se gao	5
双色绿茶饼干	shuang se lv cha bing gan	3
双色豆糕	shuang se dou gao	7
双色软糖	shuang se ruan tang	4
双色马蹄糕	shuang se ma ti gao	4
双花饮	shuang hua yin	6
双薯沙拉	shuang shu sha la	1
双酥月饼	shuang su yue bing	4
双酿团	shuang niang tuan	1
双鹤	shuang he	13
双麻火烧	shuang ma huo shao	6
双麻酥饼	shuang ma su bing	7
双黄鱼片	shuang huang yu pian	4
反沙芋头	fan sha yu tou	4
发丝百叶	fa si bai ye	6
发丝百页	fa si bai ye	8
发米粑	fa mi ba	4
发菜蒸蛋	fa cai zheng dan	7
发财好事	fa cai hao shi	6
发财就手	fa cai jiu shou	1
发酵饼干	fa jiao bing gan	7
发面油饼	fa mian you bing	3
发饽饽	fa bo bo	3
叙府陈年糟蛋	xu fu chen nian zao dan	5
口味蛇	kou wei she	7
口味金牛蹄	kou wei jin niu ti	2
口味鳝片	kou wei shan pian	2
口感盐煎肉	kou gan yan jian rou	2
口水鸡	kou shui ji	11
口福鸡	kou fu ji	4
口蘑小包	kou mo xiao bao	2
口蘑蒸鸡	kou mo zheng ji	5
口蘑鹿肉	kou mo lu rou	2
口袋豆腐	kou dai dou fu	8
口镇顺香斋南肠	kou zhen shun xiang zhai nan chang	2
古丈毛尖茶	gu zhang mao jian cha	7
古乐伴宴	gu yue ban yan	7
古井贡	gu jing gong	10
古劳银针	gu lao yin zhen	5
古县蕨菜	gu xian jue cai	2
古月胡	gu yue hu	9
古月胡三合泥	gu yue hu san he ni	6
古老肉	gu lao rou	6
古陈仓牌	gu chen cang pai	2
叫化童鸡	jiao hua tong ji	9
叫化鸡	jiao hua ji	2
可乐土豆饼	ke le tu dou bing	2
可可咖啡	ke ke ka fei	2
可可基	ke ke ji	6
可可壳色	ke ke ke se	4
可可果	ke ke guo	1
可可桃仁	ke ke tao ren	4
可可蛋糕	ke ke dan gao	1
可可麦乳精	ke ke mai ru jing	4
可得然胶	ke de ran jiao	4
可浓	ke nong	15
台北牛肉面	tai bei niu rou mian	1
台式三杯鸡	tai shi san bei ji	7
台式卤肉酥	tai shi lu rou su	4
台湾卤肉饭	tai wan lu rou fan	7
台湾古早味	tai wan gu zao wei	5
台湾盐酥鸡	tai wan yan su ji	5
台湾青枣	tai wan qing zao	9
台茶	tai cha	3
台蘑	tai mo	6
叶儿粑	ye er ba	10
叶儿耙	ye er pa	1
叶子面包	ye zi mian bao	2
叶绿素铜钠盐	ye lv su tong na yan	8
叶绿素铜钾盐	ye lv su tong jia yan	2
叶耳粑	ye er ba	6
叶醇	ye chun	7
号腐干	hao fu gan	6
司岗里	si gang li	2
司康饼	si kang bing	11
司陶特啤酒	si tao te pi jiu	10
合川桃片	he chuan tao pian	1
合川肉片	he chuan rou pian	2
合德堂	he de tang	5
合意饼	he yi bing	6
合梅	he mei	11
合水粉葛	he shui fen ge	7
合水西瓜	he shui xi gua	6
合油酥	he you su	4
合菜盖被	he cai gai bei	3
合阳页面	he yang ye mian	4
吉利大虾	ji li da xia	2
吉利虾	ji li xia	6
吉士蛋堡	ji shi dan bao	6
吉安薄酥饼	ji an bao su bing	4
吉祥干贝	ji xiang gan bei	3
吉祥顶呱呱	ji xiang ding gua gua	5
吊炉饼鸡蛋羹	diao lu bing ji dan geng	2
同和居	tong he ju	7
同安封肉	tong an feng rou	1
同川梨	tong chuan li	8
同江赫哲族生鱼片	tong jiang he zhe zu sheng yu pian	2
同源堂	tong yuan tang	7
同源茂	tong yuan mao	5
吐鲁番葡萄	tu lu fan pu tao	2
吗啉脂肪酸盐果蜡	ma lin zhi fang suan yan guo la	3
君之薇	jun zhi wei	9
君山银针	jun shan yin zhen	1
君山银针茶	jun shan yin zhen cha	9
吞拿鱼	tun na yu	39
吞拿鱼卷	tun na yu juan	5
吞拿鱼罐头	tun na yu guan tou	2
含羞丸子	han xiu wan zi	3
含羞果	han xiu guo	1
吮指原味鸡	shun zhi yuan wei ji	1
吴家熏肉	wu jia xun rou	6
吴山酥油饼	wu shan su you bing	8
吴常昌牛巴	wu chang chang niu ba	3
吴招治	wu zhao zhi	5
吴裕泰茶庄	wu yu tai cha zhuang	9
吹肝	chui gan	9
呈味核苷酸二钠	cheng wei he gan suan er na	9
告别香茗	gao bie xiang ming	4
周村大酥烧饼	zhou cun da su shao bing	6
周村烧饼	zhou cun shao bing	2
周村酥烧饼	zhou cun su shao bing	4
呱嗒子	gua da zi	3
味之臾	wei zhi yu	2
味好美	wei hao mei	4
味源	wei yuan	1
味窖板	wei jiao ban	6
咀香园	ju xiang yuan	3
和其正	he qi zheng	22
和合腰子	he he yao zi	5
和味炒田螺	he wei chao tian luo	5
和味牛杂萝卜	he wei niu za luo bo	8
和记米粉	he ji mi fen	6
咕咕霍夫	gu gu huo fu	5
咕噜肉	gu lu rou	25
咖哩牛肉	ka li niu rou	3
咖哩鸡	ka li ji	7
咖啡欧蕾	ka fei ou lei	1
咖啡糖	ka fei tang	6
咖啡蛋糕卷	ka fei dan gao juan	1
咖啡饼干	ka fei bing gan	1
咖喱樱桃	ka li ying tao	2
咖喱焖羊腩	ka li men yang nan	2
咖喱焖鸡	ka li men ji	3
咖喱焗肉蟹	ka li ju rou xie	2
咖喱牛排	ka li niu pai	6
咖喱牛肉汤	ka li niu rou tang	7
咖喱粉	ka li fen	2
咖喱菜花	ka li cai hua	6
咖喱饺	ka li jiao	9
咖喱鱿鱼	ka li you yu	5
咖喱鸡丁	ka li ji ding	6
咖喱鸡丝羹	ka li ji si geng	2
咯嗒面	ge da mian	3
咸味奶油糖	xian wei nai you tang	1
咸烧白	xian shao bai	1
咸煎饼	xian jian bing	4
咸甜薄餐	xian tian bo can	2
咸真酥	xian zhen su	2
咸肉丝儿	xian rou si er	5
咸菜鸭	xian cai ya	4
咸蛋节瓜鱼尾汤	xian dan jie gua yu wei tang	4
咸蛋蒸肉饼	xian dan zheng rou bing	10
咸金枣	xian jin zao	5
咸馓子	xian san zi	6
咸鱼片片	xian yu pian pian	5
咸鱼茄子煲	xian yu qie zi bao	5
咸鱼茄瓜煲	xian yu qie gua bao	3
咸鱼饼子	xian yu bing zi	9
咸鸭烧黄豆	xian ya shao huang dou	8
哈尔滨干肠	ha er bin gan chang	2
哈尔滨熏鸡	ha er bin xun ji	3
哈尔滨红肠	ha er bin hong chang	42
哈尔滨风干口条	ha er bin feng gan kou tiao	3
哈特啤酒	ha te pi jiu	4
哈达饼	ha da bing	7
响油鳝糊	xiang you shan hu	4
响铃儿	xiang ling er	9
响铃海参	xiang ling hai shen	5
响铃球	xiang ling qiu	4
哥伦比亚咖啡	ge lun bi ya ka fei	3
哲司	zhe si	26
唐场豆腐乳	tang chang dou fu ru	6
唐纳滋	tang na zi	2
唯我鼎边	wei wo ding bian	2
商芝肉	shang zhi rou	7
啤酒汤	pi jiu tang	1
啤酒鱼	pi jiu yu	33
啤酒鸭	pi jiu ya	44
啤酒鸭火锅	pi jiu ya huo guo	7
喀什馕坑肉	ka shi nang keng rou	2
喇嘛糕	la ma gao	6
喜品	xi pin	2
喜年来食品	xi nian lai shi pin	4
喜歪歪	xi wai wai	7
喜洲破酥粑粑	xi zhou po su ba ba	1
喜洲粑粑	xi zhou ba ba	7
喜洲鱼	xi zhou yu	6
喜立	xi li	1
喜鹊登枝	xi que deng zhi	9
喜鹊登梅	xi que deng mei	1
喝螺	he luo	8
喷火林宝坚尼	pen huo lin bao jian ni	4
喹啉黄	kui lin huang	6
嗡山药	weng shan yao	2
嘉义的鸡肉饭	jia yi de ji rou fan	4
嘉兴粽子	jia xing zong zi	13
嘉兴鲜肉粽子	jia xing xian rou zong zi	3
嘉吉	jia ji	39
噻苯咪唑	sai ben mi zuo	8
四味山药膏	si wei shan yao gao	2
四味荞包	si wei qiao bao	5
四喜丸子	si xi wan zi	28
四喜乾果	si xi qian guo	4
四喜福袋	si xi fu dai	3
四喜蒸饺	si xi zheng jiao	7
四喜饺	si xi jiao	7
四喜鱼卷	si xi yu juan	3
四喜鸭子	si xi ya zi	4
四季柚	si ji you	9
四季美小笼汤包	si ji mei xiao long tang bao	3
四季美汤包	si ji mei tang bao	1
四季鱼头王	si ji yu tou wang	2
四季鲜蔬	si ji xian shu	7
四宝上汤	si bao shang tang	3
四川板鸭	si chuan ban ya	4
四川榨菜	si chuan zha cai	9
四川泡菜	si chuan pao cai	10
四川火锅	si chuan huo guo	13
四川腊肉	si chuan la rou	9
四川辣子鸡	si chuan la zi ji	1
四川风味土豆烧排骨	si chuan feng wei tu dou shao pai gu	4
四条包子	si tiao bao zi	2
四样荤素	si yang hun su	3
四甜蜜饯	si tian mi jian	3
四色片糕	si se pian gao	1
四鲜烤麸	si xian kao fu	6
回手面	hui shou mian	3
回族碾馔儿	hui zu nian zhuan er	3
回族蒸艾叶	hui zu zheng ai ye	2
回族麦芽糖	hui zu mai ya tang	3
回民餐厅	hui min can ting	8
回记绿豆糕	hui ji lv dou gao	4
回锅腊肉	hui guo la rou	3
回锅鱼片	hui guo yu pian	4
团圆汤	tuan yuan tang	4
围炉火锅	wei lu huo guo	1
固体乳胶	gu ti ru jiao	3
圆白菜炒腊肉	yuan bai cai chao la rou	3
圆筒冰淇淋	yuan tong bing qi lin	4
圆蛋糕	yuan dan gao	20
圆黄蛋糕	yuan huang dan gao	2
土沱麻饼	tu tuo ma bing	2
土耳其咖啡	tu er qi ka fei	4
土豆排骨汤	tu dou pai gu tang	1
土豆松糕	tu dou song gao	4
土豆火腿沙拉	tu dou huo tui sha la	3
土豆炖牛肉	tu dou dun niu rou	21
土豆烧排骨	tu dou shao pai gu	23
土豆烧肉	tu dou shao rou	15
土豆烧肉丁	tu dou shao rou ding	3
土豆粑粑	tu dou ba ba	1
土豆罐焖鸡	tu dou guan men ji	2
土豆蛋糕	tu dou dan gao	2
圣堡罗	sheng bao luo	9
圣女果	sheng nv guo	40
圣杞乐	sheng qi le	8
圣诞布丁	sheng dan bu ding	14
圣诞老人蛋糕	sheng dan lao ren dan gao	2
圣诞面包	sheng dan mian bao	6
在家做蛋糕	zai jia zuo dan gao	4
圪坨	ge tuo	1
圪饦汤	ge tuo tang	5
地中海沙拉	di zhong hai sha la	4
地栗糕	di li gao	4
地瓜果脯	di gua guo fu	5
地瓜糖	di gua tang	1
地瓜饼	di gua bing	4
地胆头炖猪月展	di dan tou dun zhu yue zhan	4
地锅草鸡	di guo cao ji	2
坚果蛋糕	jian guo dan gao	1
坛子肉	tan zi rou	13
坦洋工夫茶	tan yang gong fu cha	6
城隍庙五香豆	cheng huang miao wu xiang dou	8
城隍庙梨膏糖	cheng huang miao li gao tang	7
培根奶油蛋汁	pei gen nai you dan zhi	4
培根火腿	pei gen huo tui	6
培根芦笋卷	pei gen lu sun juan	4
培根蔬菜卷	pei gen shu cai juan	5
培根面包	pei gen mian bao	6
基摩	ji mo	38
基斯乐	ji si le	3
基本戚风蛋糕	ji ben qi feng dan gao	3
堂煎牛仔骨	tang jian niu zi gu	5
塔牌	ta pai	12
塘栖板鸭	tang qi ban ya	5
塞上香哪	sai shang xiang na	4
塞外酒堡	sai wai jiu bao	6
增味剂	zeng wei ji	5
增稠剂	zeng chou ji	36
墨子酥	mo zi su	1
墨西哥凉面	mo xi ge liang mian	2
墨西哥玉米片	mo xi ge yu mi pian	1
墨西哥鸡肉玉米汤	mo xi ge ji rou yu mi tang	2
墨鱼羹	mo yu geng	4
墨鱼香菇冬笋粥	mo yu xiang gu dong sun zhou	3
壬内酯	ren nei zhi	2
壬酸乙酯	ren suan yi zhi	2
壳聚糖	ke ju tang	14
壶关羊汤	hu guan yang tang	5
壶冲油茶	hu chong you cha	4
壶壶油茶	hu hu you cha	4
壹条龙	yi tiao long	9
壹条龙饭庄	yi tiao long fan zhuang	7
复元汤	fu yuan tang	6
复原乳	fu yuan ru	13
复盆子酮	fu pen zi tong	5
夏威夷冰咖啡	xia wei yi bing ka fei	3
夏威夷果仁	xia wei yi guo ren	10
夏威夷风光	xia wei yi feng guang	9
夏茂芋包	xia mao yu bao	4
外婆家醉鱼	wai po jia zui yu	8
多味果	duo wei guo	6
多味煎饼	duo wei jian bing	4
多味黄瓜	duo wei huang gua	2
多彩冰皮月饼	duo cai bing pi yue bing	2
夜香冬瓜盅	ye xiang dong gua zhong	5
