# 青简领域词库：饮食，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
六合牛脯	lu he niu fu	5
六味斋酱肉	liu wei zhai jiang rou	8
六堡茶	liu bao cha	3
六安瓜片茶	lu an gua pian cha	8
六安篮茶	lu an lan cha	6
六安酱鸭	lu an jiang ya	4
六必居酱园	liu bi ju jiang yuan	9
六必居酱菜	liu bi ju jiang cai	1
六曲香	liu qu xiang	5
六月鲜	liu yue xian	5
兰州烤羊肉	lan zhou kao yang rou	3
兰州牛肉面	lan zhou niu rou mian	38
兰度鸽脯	lan du ge fu	3
兰花大虾	lan hua da xia	4
兰花春笋	lan hua chun sun	5
兰花根	lan hua gen	3
兰花茶	lan hua cha	11
兰花豆干	lan hua dou gan	6
兰花金钱酿发菜	lan hua jin qian niang fa cai	2
关爷宫前尖米丸	guan ye gong qian jian mi wan	3
兴义耳块粑	xing yi er kuai ba	5
兴隆咖啡	xing long ka fei	5
养生吐司春卷	yang sheng tu si chun juan	4
养生汤	yang sheng tang	11
养胃酥	yang wei su	2
养血安胎汤	yang xue an tai tang	6
兼善餐厅	jian shan can ting	3
内江蜜饯	nei jiang mi jian	6
冒节子肥肠粉	mao jie zi fei chang fen	6
军屯锅魁	jun tun guo kui	1
农夫果园	nong fu guo yuan	18
农夫茶	nong fu cha	10
农家乐元	nong jia le yuan	2
农家小炒肉	nong jia xiao chao rou	10
农家白切鸡	nong jia bai qie ji	4
农家茶	nong jia cha	10
冠生园	guan sheng yuan	15
冬果梨	dong guo li	9
冬瓜条	dong gua tiao	1
冬瓜炖排骨	dong gua dun pai gu	2
冬瓜煲汤	dong gua bao tang	5
冬瓜燕	dong gua yan	5
冬瓜甑	dong gua zeng	3
冬瓜虾皮汤	dong gua xia pi tang	4
冬瓜连锅汤	dong gua lian guo tang	3
冬瓜饼	dong gua bing	4
冬瓜鳖裙羹	dong gua bie qun geng	7
冬笋里脊丝	dong sun li ji si	4
冬菇汤包	dong gu tang bao	4
冬菇炒面	dong gu chao mian	3
冬菇炖鸡汤	dong gu dun ji tang	2
冬菇蒸滑鸡	dong gu zheng hua ji	4
冬菇藕夹	dong gu ou jia	2
