# 青简领域词库：诗词名句，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
回头问双石	hui tou wen shuang shi	2
回头问妻子	hui tou wen qi zi	2
回廊一寸相思地	hui lang yi cun xiang si di	1
回心反初役	hui xin fan chu yi	2
回忘仁义矣	hui wang ren yi yi	2
回忘礼乐矣	hui wang li yue yi	2
回看天际下中流	hui kan tian ji xia zhong liu	2
回看桃李都无色	hui kan tao li dou wu se	2
回看血泪相和流	hui kan xue lei xiang he liu	3
回观村闾间	hui guan cun lv jian	2
回车叱牛牵向北	hui che chi niu qian xiang bei	3
回雪飘摇转蓬舞	hui xue piao yao zhuan peng wu	2
回雪飘飖转蓬舞	hui xue piao yao zhuan peng wu	3
回飙吹散五峰雪	hui biao chui san wu feng xue	3
回首向来萧瑟处	hui shou xiang lai xiao se chu	25
回首峰峦入莽苍	hui shou feng luan ru mang cang	3
回首是平芜	hui shou shi ping wu	2
回首白云低	hui shou bai yun di	3
回首见旌旗	hui shou jian jing qi	3
因以为号焉	yin yi wei hao yan	2
因击沛公于坐	yin ji pei gong yu zuo	2
因宾客至蔺相如门谢罪	yin bin ke zhi lin xiang ru men xie zui	2
因得养顽疏	yin de yang wan shu	3
因念远戍卒	yin nian yuan shu zu	3
因思杜陵梦	yin si du ling meng	2
因招樊哙出	yin zhao fan kuai chu	3
因民之所利而利之	yin min zhi suo li er li zhi	4
因甘野夫食	yin gan ye fu shi	2
因病得闲殊不恶	yin bing de xian shu bu e	2
因缟素而哭之	yin gao su er ku zhi	2
因难始见能	yin nan shi jian neng	3
因风想玉珂	yin feng xiang yu ke	3
团作愚下人	tuan zuo yu xia ren	2
园日涉以成趣	yuan ri she yi cheng qu	2
园林渐觉清阴密	yuan lin jian jue qing yin mi	2
园柳变鸣禽	yuan liu bian ming qin	3
园花经雨百般红	yuan hua jing yu bai ban hong	2
园花隐麝香	yuan hua yin she xiang	2
固一世之雄也	gu yi shi zhi xiong ye	4
固不知子矣	gu bu zhi zi yi	2
固前圣之所厚	gu qian sheng zhi suo hou	3
固国不以山溪之险	gu guo bu yi shan xi zhi xian	4
固时俗之工巧兮	gu shi su zhi gong qiao xi	2
固知一死生为虚诞	gu zhi yi si sheng wei xu dan	3
国中无地无时不可以死	guo zhong wu di wu shi bu ke yi si	3
国之利器不可以示人	guo zhi li qi bu ke yi shi ren	2
国之所存者	guo zhi suo cun zhe	3
国之本在家	guo zhi ben zai jia	7
国事成不成	guo shi cheng bu cheng	3
国人杀之也	guo ren sha zhi ye	7
国人皆曰可杀	guo ren jie yue ke sha	8
国以民为本	guo yi min wei ben	8
国家定两税	guo jia ding liang shui	3
国家法令在	guo jia fa ling zai	2
国弱则诸侯加兵	guo ruo ze zhu hou jia bing	2
国强则赵固	guo qiang ze zhao gu	2
国无人莫我知兮	guo wu ren mo wo zhi xi	2
国有疑难可问谁	guo you yi nan ke wen shui	5
国朝盛文章	guo chao sheng wen zhang	2
国破山河在	guo po shan he zai	12
国际悲歌歌一曲	guo ji bei ge ge yi qu	4
图南未可料	tu nan wei ke liao	2
图难于其易	tu nan yu qi yi	5
圆因裁制功	yuan yin cai zhi gong	2
圆绿卷新荷	yuan lv juan xin he	2
圆魄上寒空	yuan po shang han kong	2
圆齐玉箸头	yuan qi yu zhu tou	2
土山焦而不热	tu shan jiao er bu re	3
土豆烧熟了	tu dou shao shu le	4
圣之时者也	sheng zhi shi zhe ye	3
圣人不得已而用之	sheng ren bu de yi er yong zhi	3
圣人之心静乎	sheng ren zhi xin jing hu	1
圣人之所以为圣	sheng ren zhi suo yi wei sheng	2
圣人之过也	sheng ren zhi guo ye	2
圣人存而不论	sheng ren cun er bu lun	3
圣人工乎天而拙乎人	sheng ren gong hu tian er zhuo hu ren	2
圣人常无心	sheng ren chang wu xin	3
圣人无常师	sheng ren wu chang shi	1
圣人既竭目力焉	sheng ren ji jie mu li yan	2
圣人有忧之	sheng ren you you zhi	2
圣代即今多雨露	sheng dai ji jin duo yu lu	2
圣代无隐者	sheng dai wu yin zhe	3
圣哲体仁恕	sheng zhe ti ren shu	2
圣贤道何以传	sheng xian dao he yi chuan	3
在乎人为之	zai hu ren wei zhi	2
在乎山水之间也	zai hu shan shui zhi jian ye	11
在人虽晚达	zai ren sui wan da	2
在地愿为连理枝	zai di yuan wei lian li zhi	4
在夏后之世	zai xia hou zhi shi	5
在天愿作比翼鸟	zai tian yuan zuo bi yi niao	6
在好为人师	zai hao wei ren shi	2
在尘埃之中	zai chen ai zhi zhong	2
在山泉水清	zai shan quan shui qing	1
在康河的柔波里	zai kang he de rou bo li	3
在彼不在此	zai bi bu zai ci	3
在德不在险	zai de bu zai xian	1
在我的心头荡漾	zai wo de xin tou dang yang	1
在新丰鸿门	zai xin feng hong men	2
在星辉斑斓里放歌	zai xing hui ban lan li fang ge	3
在洞庭一湖	zai dong ting yi hu	6
在目皓已洁	zai mu hao yi jie	2
在转瞬间消灭了踪影	zai zhuan shun jian xiao mie le zong ying	3
在这交会时互放的光亮	zai zhe jiao hui shi hu fang de guang liang	3
地不得不广	di bu de bu guang	2
地主重重压迫	di zhu chong chong ya po	3
地僻门深少送迎	di pi men shen shao song ying	3
地动三河铁臂摇	di dong san he tie bi yao	1
地势使之然	di shi shi zhi ran	3
地古寒阴生	di gu han yin sheng	2
地崩山摧壮士死	di beng shan cui zhuang shi si	4
地应无酒泉	di ying wu jiu quan	5
地得一以宁	di de yi yi ning	2
地白风色寒	di bai feng se han	2
地籁则众窍是已	di lai ze zhong qiao shi yi	2
地若不爱酒	di ruo bu ai jiu	1
地转凝碧湾	di zhuan ning bi wan	4
地远草木豪	di yuan cao mu hao	2
地阔峨眉晚	di kuo e mei wan	2
地阔望仙台	di kuo wang xian tai	2
地静无纤尘	di jing wu xian chen	3
坊闹半长安	fang nao ban chang an	2
坎坎伐檀兮	kan kan fa tan xi	1
坎轲只得移荆蛮	kan ke zhi de yi jing man	2
坏壁无由见旧题	huai bi wu you jian jiu ti	2
坐中醉客风流惯	zuo zhong zui ke feng liu guan	2
坐久灯烬落	zuo jiu deng jin luo	2
坐久落花多	zuo jiu luo hua duo	2
坐地日行八万里	zuo di ri xing ba wan li	1
坐地日行八千里	zuo di ri xing ba qian li	3
坐愁红颜老	zuo chou hong yan lao	1
坐断东南战未休	zuo duan dong nan zhan wei xiu	3
坐来真个好相宜	zuo lai zhen ge hao xiang yi	2
坐看云起时	zuo kan yun qi shi	26
