# 青简领域词库：医学，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
乳酸左氧氟沙星	ru suan zuo yang fu sha xing	2
乳酸左氧氟沙星注射液	ru suan zuo yang fu sha xing zhu she ye	3
乳酸左氧氟沙星片	ru suan zuo yang fu sha xing pian	2
乳酸性酸中毒	ru suan xing suan zhong du	6
乳酸溶液	ru suan rong ye	3
乳酸脱氢酶	ru suan tuo qing mei	11
乳酸菌素	ru suan jun su	4
乳酸菌素片	ru suan jun su pian	5
乳酸菌素颗粒	ru suan jun su ke li	2
乳酸钙片	ru suan gai pian	2
了哥王	liao ge wang	2
事件相关电位	shi jian xiang guan dian wei	5
二乙氨基乙醇	er yi an ji yi chun	2
二仙汤	er xian tang	3
二代病例	er dai bing li	1
二倍体细胞	er bei ti xi bao	8
二分体	er fen ti	10
二十五味余甘子丸	er shi wu wei yu gan zi wan	4
二十五味儿茶丸	er shi wu wei er cha wan	3
二十五味大汤丸	er shi wu wei da tang wan	2
二十五味松石丸	er shi wu wei song shi wan	4
二十五味珊瑚丸	er shi wu wei shan hu wan	2
二十五味珍珠丸	er shi wu wei zhen zhu wan	1
二十五味肺病丸	er shi wu wei fei bing wan	2
二十五味阿魏胶囊	er shi wu wei a wei jiao nang	2
二十五味驴血丸	er shi wu wei lv xue wan	3
二十五味鬼臼丸	er shi wu wei gui jiu wan	3
二十八烷醇	er shi ba wan chun	2
二十味肉豆蔻丸	er shi wei rou dou kou wan	4
二十碳四烯酸	er shi tan si xi suan	3
二咖啡酰奎尼酸	er ka fei xian kui ni suan	2
二尖瓣	er jian ban	20
二尖瓣关闭不全	er jian ban guan bi bu quan	5
二尖瓣成形术	er jian ban cheng xing shu	4
二尖瓣狭窄	er jian ban xia zhai	3
二尖瓣球囊扩张术	er jian ban qiu nang kuo zhang shu	3
二尖瓣置换术	er jian ban zhi huan shu	5
二尖瓣脱垂	er jian ban tuo chui	3
二尖瓣返流	er jian ban fan liu	4
二巯丁二酸	er qiu ding er suan	3
二巯丙磺钠注射液	er qiu bing huang na zhu she ye	2
二巯基丙磺酸钠	er qiu ji bing huang suan na	3
二异丙胺	er yi bing an	3
二异氰酸甲苯酯	er yi qing suan jia ben zhi	3
二期梅毒	er qi mei du	7
二期缝合	er qi feng he	4
二次感染	er ci gan ran	15
二次结构	er ci jie gou	8
二母宁嗽丸	er mu ning sou wan	3
二母宁嗽片	er mu ning sou pian	3
二母清肺丸	er mu qing fei wan	2
二氢吡啶	er qing bi ding	8
二氢埃托啡	er qing ai tuo fei	2
二氢睾酮	er qing gao tong	3
二氧丙嗪	er yang bing qin	3
二氧化氮	er yang hua dan	45
二氧化氯	er yang hua lv	5
二氧化硫中毒	er yang hua liu zhong du	4
二氧化碳中毒	er yang hua tan zhong du	7
二氧化碳分压	er yang hua tan fen ya	4
二氧化碳激光器	er yang hua tan ji guang qi	7
二氧化碳激光治疗	er yang hua tan ji guang zhi liao	3
二氧化碳麻醉	er yang hua tan ma zui	4
二氧化钛	er yang hua tai	25
二氮嗪	er dan qin	5
二氮嗪注射液	er dan qin zhu she ye	4
二氯乙烷	er lv yi wan	14
二氯乙烷中毒	er lv yi wan zhong du	8
二氯二氟甲烷	er lv er fu jia wan	3
二氯异氰尿酸钠	er lv yi qing niao suan na	1
二溴乙烷	er xiu yi wan	11
二溴氯丙烷	er xiu lv bing wan	4
二漏	er lou	4
二甲双胍	er jia shuang gua	20
二甲双胍格列本脲片	er jia shuang gua ge lie ben niao pian	2
二甲双胍缓释片	er jia shuang gua huan shi pian	5
二甲基乙酰胺	er jia ji yi xian an	3
二甲基甲酰胺	er jia ji jia xian an	20
二甲基苯胺	er jia ji ben an	7
二甲硅油	er jia gui you	3
二甲硅油乳剂	er jia gui you ru ji	3
二甲硅油气雾剂	er jia gui you qi wu ji	2
二甲硅油片	er jia gui you pian	3
二甲磺酸阿米三嗪	er jia huang suan a mi san qin	2
二甲苯中毒	er jia ben zhong du	2
二白	er bai	7
二硝基甲苯	er xiao ji jia ben	1
二硝基苯	er xiao ji ben	8
二硫化硒	er liu hua xi	1
二硫苏糖醇	er liu su tang chun	2
二磷酸果糖	er lin suan guo tang	4
二级医院	er ji yi yuan	23
二级预防	er ji yu fang	4
二羟基丙酮	er qiang ji bing tong	4
二羟苯甲酸	er qiang ben jia suan	3
二至丸	er zhi wan	5
二苯乙烯	er ben yi xi	7
二苯甲烷二异氰酸酯	er ben jia wan er yi qing suan zhi	2
二苯甲酮	er ben jia tong	4
二苯胺	er ben an	3
二重感染	er chong gan ran	2
二龙喉公园	er long hou gong yuan	4
云南白药创可贴	yun nan bai yao chuang ke tie	6
云南白药片	yun nan bai yao pian	3
云南白药胶囊	yun nan bai yao jiao nang	7
云南白药膏	yun nan bai yao gao	7
云南白药酊	yun nan bai yao ding	7
云母尘肺	yun mu chen fei	4
云芝糖肽	yun zhi tang tai	2
云芝胞内糖肽	yun zhi bao nei tang tai	2
云芝胞内糖肽胶囊	yun zhi bao nei tang tai jiao nang	3
云芝菌胶囊	yun zhi jun jiao nang	2
云门穴	yun men xue	3
互交	hu jiao	6
五仁丸	wu ren wan	2
五仁润肠丸	wu ren run chang wan	2
五加参归芪精	wu jia shen gui qi jing	2
五加皮	wu jia pi	2
五味子丸	wu wei zi wan	3
五味子乙素	wu wei zi yi su	2
五味子甲素	wu wei zi jia su	2
五味子糖浆	wu wei zi tang jiang	2
五味子颗粒	wu wei zi ke li	2
五味安神颗粒	wu wei an shen ke li	3
五味沙棘散	wu wei sha ji san	3
五味消毒饮	wu wei xiao du yin	4
五味黄连丸	wu wei huang lian wan	5
五子衍宗丸	wu zi yan zong wan	5
五官科学	wu guan ke xue	1
五心烦热	wu xin fan re	8
五更太平丸	wu geng tai ping wan	3
五更泄泻	wu geng xie xie	4
五氟利多	wu fu li duo	1
五氟利多片	wu fu li duo pian	3
五氯酚	wu lv fen	5
五氯酚钠	wu lv fen na	4
五海瘿瘤丸	wu hai ying liu wan	5
五灵肝复胶囊	wu ling gan fu jiao nang	2
五灵脂	wu ling zhi	1
五皮饮	wu pi yin	3
五禽戏	wu qin xi	2
五维赖氨酸片	wu wei lai an suan pian	3
五肽胃泌素	wu tai wei mi su	2
五苓散	wu ling san	5
五苓胶囊	wu ling jiao nang	2
五藏	wu zang	1
五行相生相克	wu xing xiang sheng xiang ke	6
五输穴	wu shu xue	3
亚叶酸钙	ya ye suan gai	3
亚急性	ya ji xing	47
亚急性甲状腺炎	ya ji xing jia zhuang xian yan	2
亚急性皮肤型红斑狼疮	ya ji xing pi fu xing hong ban lang chuang	2
亚急性硬化性全脑炎	ya ji xing ying hua xing quan nao yan	3
亚急性细菌性心内膜炎	ya ji xing xi jun xing xin nei mo yan	3
亚成虫	ya cheng chong	2
亚油酸甲酯	ya you suan jia zhi	3
亚甲蓝	ya jia lan	5
亚界	ya jie	22
亚砷酸氯化钠注射液	ya shen suan lv hua na zhu she ye	3
亚硝酸异戊酯	ya xiao suan yi wu zhi	3
亚硝酸异戊酯吸入剂	ya xiao suan yi wu zhi xi ru ji	2
亚硝酸钠注射液	ya xiao suan na zhu she ye	3
亚硫酸氢钠甲萘醌	ya liu suan qing na jia nai kun	2
亚硫酸盐	ya liu suan yan	31
亚胺培南	ya an pei nan	44
亚高山带	ya gao shan dai	4
亚麻子	ya ma zi	3
亡阳证	wang yang zheng	2
交会穴	jiao hui xue	5
交信	jiao xin	6
交叉免疫	jiao cha mian yi	1
交叉反应	jiao cha fan ying	15
交叉耐受	jiao cha nai shou	1
交叉配血试验	jiao cha pei xue shi yan	3
交感性眼炎	jiao gan xing yan yan	1
交感神经型颈椎病	jiao gan shen jing xing jing zhui bing	5
交感神经系统	jiao gan shen jing xi tong	12
交换子	jiao huan zi	5
交沙霉素片	jiao sha mei su pian	2
交界痣	jiao jie zhi	5
交界瘤	jiao jie liu	2
交通心肾	jiao tong xin shen	5
产伤	chan shang	9
产前出血	chan qian chu xue	17
产前子痫	chan qian zi xian	3
产前检查	chan qian jian cha	7
产前诊断	chan qian zhen duan	5
产卵场	chan luan chang	3
产后子宫复旧不全	chan hou zi gong fu jiu bu quan	2
产后甲状腺炎	chan hou jia zhuang xian yan	1
产后精神病	chan hou jing shen bing	3
产宝	chan bao	1
产热	chan re	8
产程延长	chan cheng yan chang	6
产褥期感染	chan ru qi gan ran	4
亨特氏综合征	heng te shi zong he zheng	2
京万红	jing wan hong	6
京万红软膏	jing wan hong ruan gao	4
京制牛黄解毒片	jing zhi niu huang jie du pian	5
京必舒新	jing bi shu xin	2
京都念慈庵	jing du nian ci an	17
京门	jing men	31
京门穴	jing men xue	2
亮丙瑞林	liang bing rui lin	6
亮嗓胖大海清咽糖	liang sang pang da hai qing yan tang	3
亮氨酸	liang an suan	31
亮甲	liang jia	7
亮菌甲素	liang jun jia su	4
亮菌甲素注射液	liang jun jia su zhu she ye	5
亲合力	qin he li	2
亲社会行为	qin she hui xing wei	3
人中穴	ren zhong xue	1
人为灾害	ren wei zai hai	2
人乳头瘤病毒	ren ru tou liu bing du	1
人体寄生虫学	ren ti ji sheng chong xue	1
人体形态学	ren ti xing tai xue	5
人体曲线	ren ti qu xian	1
人体模型	ren ti mo xing	24
人体测量学	ren ti ce liang xue	5
人体病理学	ren ti bing li xue	3
人体结构学	ren ti jie gou xue	1
人体解剖	ren ti jie pou	15
人体解剖学	ren ti jie pou xue	22
人体解剖生理学	ren ti jie pou sheng li xue	3
人体黄金分割	ren ti huang jin fen ge	2
人免疫球蛋白	ren mian yi qiu dan bai	6
人凝血酶原复合物	ren ning xue mei yuan fu he wu	4
人参健脾丸	ren shen jian pi wan	6
人参养荣丸	ren shen yang rong wan	5
人参养荣汤	ren shen yang rong tang	4
人参再造丸	ren shen zai zao wan	5
人参口服液	ren shen kou fu ye	3
人参叶	ren shen ye	5
人参固本丸	ren shen gu ben wan	2
人参多糖注射液	ren shen duo tang zhu she ye	2
人参天麻药酒	ren shen tian ma yao jiu	3
人参归脾丸	ren shen gui pi wan	4
人参皂苷	ren shen zao gan	19
人参胡桃汤	ren shen hu tao tang	2
人参芦	ren shen lu	2
人参芦头	ren shen lu tou	2
人参茎叶总皂苷注射液	ren shen jing ye zong zao gan zhu she ye	3
人参茎叶皂苷	ren shen jing ye zao gan	2
人参药酒	ren shen yao jiu	3
人参蛤蚧散	ren shen ge jie san	3
人参蜂王浆	ren shen feng wang jiang	5
人参袋泡茶	ren shen dai pao cha	2
人参首乌胶囊	ren shen shou wu jiao nang	4
人口学	ren kou xue	11
人字缝	ren zi feng	3
人工全髋关节置换术	ren gong quan kuan guan jie zhi huan shu	5
人工关节	ren gong guan jie	2
人工剥离胎盘术	ren gong bo li tai pan shu	2
人工喉	ren gong hou	4
人工晶体	ren gong jing ti	20
人工晶体植入术	ren gong jing ti zhi ru shu	8
人工概念	ren gong gai nian	2
人工泪液	ren gong lei ye	3
人工牙	ren gong ya	1
人工牛黄	ren gong niu huang	8
人工牛黄甲硝唑	ren gong niu huang jia xiao zuo	4
人工牛黄甲硝唑胶囊	ren gong niu huang jia xiao zuo jiao nang	7
人工瓣膜	ren gong ban mo	1
人工皮	ren gong pi	3
人工皮炎	ren gong pi yan	2
人工破膜	ren gong po mo	4
人工破膜术	ren gong po mo shu	2
人工种子	ren gong zhong zi	2
人工股骨头置换术	ren gong gu gu tou zhi huan shu	6
人工肺	ren gong fei	3
人工血管	ren gong xue guan	2
人工阴茎	ren gong yin jing	9
人工阴道	ren gong yin dao	4
人工骨	ren gong gu	7
人工髋关节	ren gong kuan guan jie	3
人工麝香	ren gong she xiang	1
人工鼻	ren gong bi	1
人格心理学	ren ge xin li xue	12
人狂犬病免疫球蛋白	ren kuang quan bing mian yi qiu dan bai	4
人用狂犬病纯化疫苗	ren yong kuang quan bing chun hua yi miao	2
人畜共患传染病	ren chu gong huan chuan ran bing	9
人痘接种	ren dou jie zhong	5
人知降糖胶囊	ren zhi jiang tang jiao nang	3
人破伤风免疫球蛋白	ren po shang feng mian yi qiu dan bai	4
人类免疫缺陷病毒	ren lei mian yi que xian bing du	47
人类疾病动物模型	ren lei ji bing dong wu mo xing	5
人类遗传学	ren lei yi chuan xue	14
人纤维蛋白原	ren xian wei dan bai yuan	1
人绒毛膜促性腺激素	ren rong mao mo cu xing xian ji su	6
人群易感性	ren qun yi gan xing	5
人胎盘片	ren tai pan pian	3
人胎盘组织液	ren tai pan zu zhi ye	5
人胎盘脂多糖注射液	ren tai pan zhi duo tang zhu she ye	2
人胰岛素	ren yi dao su	4
人血丙种球蛋白	ren xue bing zhong qiu dan bai	3
人血清白蛋白	ren xue qing bai dan bai	6
人血白蛋白	ren xue bai dan bai	1
人血白蛋白注射液	ren xue bai dan bai zhu she ye	4
人迎	ren ying	8
人迎穴	ren ying xue	4
人造器官	ren zao qi guan	8
人造血管	ren zao xue guan	8
人际沟通	ren ji gou tong	10
仁青常觉	ren qing chang jue	5
仁青芒觉	ren qing mang jue	4
仆参	pu can	2
介入医学	jie ru yi xue	7
介入放射学	jie ru fang she xue	1
介入治疗	jie ru zhi liao	22
他克莫司	ta ke mo si	6
他克莫司胶囊	ta ke mo si jiao nang	2
他唑巴坦	ta zuo ba tan	2
他唑巴坦钠	ta zuo ba tan na	5
他莫昔芬	ta mo xi fen	3
他达拉非	ta da la fei	8
仙乐雄胶囊	xian le xiong jiao nang	4
仙授理伤续断秘方	xian shou li shang xu duan mi fang	2
仙方活命饮	xian fang huo ming yin	2
仙灵骨葆胶囊	xian ling gu bao jiao nang	5
仙茅	xian mao	6
仙藜口服液	xian li kou fu ye	3
仙鹤草	xian he cao	7
代偿性肥大	dai chang xing fei da	1
代田稔	dai tian ren	4
代谢当量	dai xie dang liang	3
代谢性疾病	dai xie xing ji bing	6
代谢性白内障	dai xie xing bai nei zhang	3
代谢性碱中毒	dai xie xing jian zhong du	1
代谢性酸中毒	dai xie xing suan zhong du	9
代谢性骨病	dai xie xing gu bing	1
代谢紊乱	dai xie wen luan	10
代谢综合征	dai xie zong he zheng	5
代谢酶	dai xie mei	4
代谢障碍	dai xie zhang ai	7
代赭石	dai zhe shi	4
仪式化	yi shi hua	15
仲景胃灵丸	zhong jing wei ling wan	3
任应秋	ren ying qiu	3
任脉	ren mai	2
伊托必利	yi tuo bi li	3
伊曲康唑	yi qu kang zuo	5
伊曲康唑胶囊	yi qu kang zuo jiao nang	4
伊来西胺片	yi lai xi an pian	2
伊班膦酸钠注射液	yi ban lin suan na zhu she ye	2
伊立替康	yi li ti kang	1
伊维菌素	yi wei jun su	4
伊藤痣	yi teng zhi	5
伊蚊	yi wen	11
伊达比星	yi da bi xing	3
伍连德	wu lian de	13
伏兔	fu tu	1
伏格列波糖	fu ge lie bo tang	4
伏格列波糖胶囊	fu ge lie bo tang jiao nang	2
伏梁	fu liang	2
伏立康唑	fu li kang zuo	5
伏立康唑片	fu li kang zuo pian	2
伏龙肝	fu long gan	4
伐地那非	fa di na fei	1
伐昔洛韦	fa xi luo wei	3
休克型肺炎	xiu ke xing fei yan	2
休克肺	xiu ke fei	2
休息期	xiu xi qi	7
休止期脱发	xiu zhi qi tuo fa	8
休眠卵	xiu mian luan	2
休眠芽	xiu mian ya	4
众生胶囊	zhong sheng jiao nang	3
优氯净	you lv jing	6
优生优育	you sheng you yu	6
优生学	you sheng xue	20
优甲乐	you jia le	6
会厌囊肿	hui yan nang zhong	1
会厌软骨	hui yan ruan gu	6
会宗	hui zong	3
会穴	hui xue	3
会计学基础	kuai ji xue ji chu	2
会阳	hui yang	4
会阴切开术	hui yin qie kai shu	1
会阴疝	hui yin shan	2
会阴穴	hui yin xue	6
伞形花序	san xing hua xu	11
传代培养	chuan dai pei yang	1
传导性耳聋	chuan dao xing er long	6
传导路	chuan dao lu	3
传导通路	chuan dao tong lu	5
传播媒介	chuan bo mei jie	37
传播途径	chuan bo tu jing	34
传染性单核细胞增多症	chuan ran xing dan he xi bao zeng duo zheng	6
传染性红斑	chuan ran xing hong ban	1
传染性软疣	chuan ran xing ruan you	16
传染期	chuan ran qi	3
传染病学	chuan ran bing xue	37
传染病报告卡	chuan ran bing bao gao ka	5
传染过程	chuan ran guo cheng	1
传统科学	chuan tong ke xue	6
传递细胞	chuan di xi bao	1
伤口敷料	shang kou fu liao	2
伤寒杂病论	shang han za bing lun	6
伤寒杆菌	shang han gan jun	3
伤寒疫苗	shang han yi miao	9
伤寒菌苗	shang han jun miao	1
伤寒论	shang han lun	34
伤寒论选读	shang han lun xuan du	2
伤暑	shang shu	1
伤湿	shang shi	6
伤湿止痛膏	shang shi zhi tong gao	7
伤湿祛痛膏	shang shi qu tong gao	4
伤益气雾剂	shang yi qi wu ji	3
伤科接骨片	shang ke jie gu pian	3
伤风停片	shang feng ting pian	2
伤风止咳糖浆	shang feng zhi ke tang jiang	2
伤食	shang shi	6
伦琴	lun qin	18
伪影	wei ying	1
伪膜性肠炎	wei mo xing chang yan	1
伪足	wei zu	39
伯氨喹	bo an kui	2
伴性遗传	ban xing yi chuan	2
伴随免疫	ban sui mian yi	2
伴高血压	ban gao xue ya	5
伸筋丹胶囊	shen jin dan jiao nang	3
伸筋活络丸	shen jin huo luo wan	3
伸筋草	shen jin cao	4
伸肌	shen ji	5
似动现象	si dong xian xiang	3
伽玛刀治疗	jia ma dao zhi liao	5
位听神经	wei ting shen jing	2
低丙种球蛋白血症	di bing zhong qiu dan bai xue zheng	1
低体重儿	di ti zhong er	1
低分子右旋糖酐	di fen zi you xuan tang gan	4
低分子肝素	di fen zi gan su	6
低分子量肝素	di fen zi liang gan su	3
低分子量肝素钙注射液	di fen zi liang gan su gai zhu she ye	3
低密度脂蛋白	di mi du zhi dan bai	19
低密度脂蛋白胆固醇	di mi du zhi dan bai dan gu chun	9
低常儿童	di chang er tong	4
低氧	di yang	41
低温冰箱	di wen bing xiang	5
低白蛋白血症	di bai dan bai xue zheng	1
低盐饮食	di yan yin shi	2
低色素性贫血	di se su xing pin xue	1
低血容量	di xue rong liang	4
低血糖症	di xue tang zheng	5
低钙血症	di gai xue zheng	4
低钠血症	di na xue zheng	2
低钾血症	di jia xue zheng	7
低镁血症	di mei xue zheng	3
低颅压性头痛	di lu ya xing tou tong	2
佐剂	zuo ji	13
佐匹克隆	zuo pi ke long	20
佐匹克隆片	zuo pi ke long pian	5
佐米曲普坦	zuo mi qu pu tan	2
体位性低血压	ti wei xing di xue ya	8
体像障碍	ti xiang zhang ai	3
体内平衡	ti nei ping heng	8
体内过程	ti nei guo cheng	2
体外冲击波碎石	ti wai chong ji bo sui shi	6
体外反搏治疗	ti wai fan bo zhi liao	3
体外培育牛黄	ti wai pei yu niu huang	6
体外寄生虫	ti wai ji sheng chong	1
体循环	ti xun huan	14
体格检查	ti ge jian cha	9
体毛	ti mao	44
体液免疫	ti ye mian yi	6
体液调节	ti ye tiao jie	5
体温过低	ti wen guo di	14
体癣	ti xuan	2
体细胞突变	ti xi bao tu bian	2
体虚	ti xu	9
体虚感冒	ti xu gan mao	6
体虱	ti shi	4
体质性矮小	ti zhi xing ai xiao	3
体重减轻	ti zhong jian qing	49
何志平	he zhi ping	11
何若愚	he ruo yu	1
余云岫	yu yun xiu	1
余甘子	yu gan zi	5
余甘子喉片	yu gan zi hou pian	2
佛焰花序	fo yan hua xu	2
佛焰苞	fo yan bao	13
作业治疗学	zuo ye zhi liao xue	3
作业疗法	zuo ye liao fa	3
佩吉特氏病	pei ji te shi bing	4
佩夫人止咳露	pei fu ren zhi ke lu	3
使君子	shi jun zi	14
依从性	yi cong xing	9
依匹斯汀	yi pi si ting	2
依地酸钙钠	yi di suan gai na	3
依地酸钙钠注射液	yi di suan gai na zhu she ye	3
依巴斯汀	yi ba si ting	4
依巴斯汀片	yi ba si ting pian	2
依帕司他	yi pa si ta	3
依托咪酯	yi tuo mi zhi	3
依托度酸	yi tuo du suan	2
依托度酸片	yi tuo du suan pian	2
依托泊苷	yi tuo bo gan	7
依托泊苷注射液	yi tuo bo gan zhu she ye	2
依托红霉素颗粒	yi tuo hong mei su ke li	3
依替米星	yi ti mi xing	2
依沙吖啶	yi sha a ding	3
依苏	yi su	3
依西美坦	yi xi mei tan	2
依诺沙星	yi nuo sha xing	5
依诺沙星乳膏	yi nuo sha xing ru gao	2
依诺沙星滴眼液	yi nuo sha xing di yan ye	2
依诺肝素	yi nuo gan su	4
依赖型人格障碍	yi lai xing ren ge zhang ai	2
依达拉奉	yi da la feng	6
依那普利	yi na pu li	6
依那普利拉	yi na pu li la	2
依马打正红花油	yi ma da zheng hong hua you	2
侠溪	xia xi	1
侠溪穴	xia xi xue	2
侧单眼	ce dan yan	3
侧柏叶	ce bai ye	6
侧脑室	ce nao shi	3
侯凡凡	hou fan fan	1
侵袭力	qin xi li	6
便乃通茶	bian nai tong cha	4
便塞停	bian se ting	2
便血病	bian xue bing	2
便通胶囊	bian tong jiao nang	2
便闭	bian bi	4
促凝血药	cu ning xue yao	2
促卵泡生成素	cu luan pao sheng cheng su	3
促卵泡素	cu luan pao su	1
促性腺激素	cu xing xian ji su	14
促性腺激素释放激素	cu xing xian ji su shi fang ji su	6
促甲状腺激素	cu jia zhuang xian ji su	19
促皮质激素	cu pi zhi ji su	4
促皮质素	cu pi zhi su	1
促红细胞生成素	cu hong xi bao sheng cheng su	4
促肝细胞生长素	cu gan xi bao sheng zhang su	2
促肾上腺皮质激素	cu shen shang xian pi zhi ji su	9
促胰液素	cu yi ye su	4
促黄体生成激素	cu huang ti sheng cheng ji su	4
促黄体生成素	cu huang ti sheng cheng su	4
促黄体素	cu huang ti su	6
促黑素细胞激素	cu hei su xi bao ji su	1
俄歇电子	e xie dian zi	6
保元汤	bao yuan tang	4
保列治	bao lie zhi	5
保利尔胶囊	bao li er jiao nang	3
保卫细胞	bao wei xi bao	1
保和丸	bao he wan	7
保妇康凝胶	bao fu kang ning jiao	2
保妇康栓	bao fu kang shuan	4
保婴丹	bao ying dan	7
保守性	bao shou xing	19
保守疗法	bao shou liao fa	8
保护性免疫	bao hu xing mian yi	4
保护性抗原	bao hu xing kang yuan	1
保护膜	bao hu mo	9
保泰松	bao tai song	7
保济丸	bao ji wan	40
保济口服液	bao ji kou fu ye	5
保育培养	bao yu pei yang	2
保胎无忧片	bao tai wu you pian	2
保胎灵	bao tai ling	3
保胎灵胶囊	bao tai ling jiao nang	2
俞府	yu fu	2
俞府穴	yu fu xue	2
俞梦孙	yu meng sun	7
俞穴	yu xue	6
信号序列	xin hao xu lie	3
信息体	xin xi ti	4
信息素	xin xi su	20
修复体	xiu fu ti	6
修复术	xiu fu shu	9
修复酶	xiu fu mei	3
修饰基因	xiu shi ji yin	4
修饰行为	xiu shi xing wei	3
倍他乐克	bei ta le ke	6
倍他米松	bei ta mi song	4
倍他米松戊酸酯	bei ta mi song wu suan zhi	3
倍他米隆	bei ta mi long	2
倍氯米松	bei lv mi song	1
倍美力片	bei mei li pian	2
倒位	dao wei	6
倒扣草	dao kou cao	3
倒经	dao jing	4
倒置显微镜	dao zhi xian wei jing	5
