# 青简领域词库：医学，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
中毒性痢疾	zhong du xing li ji	6
中毒性白内障	zhong du xing bai nei zhang	2
中毒性红斑	zhong du xing hong ban	2
中毒性肝炎	zhong du xing gan yan	7
中毒性肝病	zhong du xing gan bing	5
中毒性肝硬化	zhong du xing gan ying hua	2
中毒性肺水肿	zhong du xing fei shui zhong	4
中毒性肺炎	zhong du xing fei yan	4
中毒性脑病	zhong du xing nao bing	1
中毒病	zhong du bing	4
中毒颗粒	zhong du ke li	3
中气下陷	zhong qi xia xian	1
中气下陷证	zhong qi xia xian zheng	2
中注	zhong zhu	5
中渎	zhong du	2
中渚	zhong zhu	1
中老年高钙片	zhong lao nian gao gai pian	3
中耳胆脂瘤	zhong er dan zhi liu	4
中肠	zhong chang	5
中肾	zhong shen	8
中脘	zhong wan	7
中脘穴	zhong wan xue	7
中膈	zhong ge	9
中药化学	zhong yao hua xue	1
中药学	zhong yao xue	13
中药学专业知识	zhong yao xue zhuan ye zhi shi	2
中药散剂	zhong yao san ji	5
中药汤剂	zhong yao tang ji	1
中药炮制学	zhong yao pao zhi xue	3
中药药剂学	zhong yao yao ji xue	1
中药药理学	zhong yao yao li xue	2
中药鉴定学	zhong yao jian ding xue	4
中间型	zhong jian xing	26
中间层	zhong jian ceng	38
中间清醒期	zhong jian qing xing qi	3
中间神经元	zhong jian shen jing yuan	1
中间缺失	zhong jian que shi	6
中静脉	zhong jing mai	4
中风回春丸	zhong feng hui chun wan	3
中风回春片	zhong feng hui chun pian	3
中风安口服液	zhong feng an kou fu ye	3
中髎	zhong liao	2
中鼻甲	zhong bi jia	5
中鼻道	zhong bi dao	3
丰隆穴	feng long xue	5
临床免疫学	lin chuang mian yi xue	6
临床护理	lin chuang hu li	12
临床检验	lin chuang jian yan	11
临床检验基础	lin chuang jian yan ji chu	3
临床死亡	lin chuang si wang	5
临床法医学	lin chuang fa yi xue	4
临床流行病学	lin chuang liu xing bing xue	6
临床病理学	lin chuang bing li xue	2
临床经验	lin chuang jing yan	18
临床药学	lin chuang yao xue	7
临床药理学	lin chuang yao li xue	4
临床营养学	lin chuang ying yang xue	3
临床诊断学	lin chuang zhen duan xue	2
临床遗传学	lin chuang yi chuan xue	4
临床麻醉	lin chuang ma zui	2
临床麻醉学	lin chuang ma zui xue	2
丹七片	dan qi pian	3
丹七软胶囊	dan qi ruan jiao nang	2
丹参保心茶	dan shen bao xin cha	3
丹参川芎嗪注射液	dan shen chuan xiong qin zhu she ye	3
丹参注射液	dan shen zhu she ye	6
丹参滴注液	dan shen di zhu ye	3
丹参片	dan shen pian	7
丹参胶囊	dan shen jiao nang	3
丹参舒心	dan shen shu xin	2
丹参舒心胶囊	dan shen shu xin jiao nang	3
丹参酮	dan shen tong	5
丹参酮胶囊	dan shen tong jiao nang	2
丹宁酸	dan ning suan	1
丹杞颗粒	dan qi ke li	3
丹栀逍遥丸	dan zhi xiao yao wan	4
丹栀逍遥散	dan zhi xiao yao san	4
丹栀逍遥胶囊	dan zhi xiao yao jiao nang	3
丹桂香颗粒	dan gui xiang ke li	2
丹毒病	dan du bing	2
丹溪心法	dan xi xin fa	5
丹皮酚	dan pi fen	7
丹红化瘀口服液	dan hong hua yu kou fu ye	2
丹红注射液	dan hong zhu she ye	2
丹葛颈舒胶囊	dan ge jing shu jiao nang	3
丹蓝通络口服液	dan lan tong luo kou fu ye	3
丹香冠心注射液	dan xiang guan xin zhu she ye	2
丹鹿通督片	dan lu tong du pian	2
主任药师	zhu ren yao shi	3
主动免疫	zhu dong mian yi	2
主动脉动脉瘤	zhu dong mai dong mai liu	1
主动脉夹层	zhu dong mai jia ceng	3
主动脉夹层动脉瘤	zhu dong mai jia ceng dong mai liu	1
主动脉弓	zhu dong mai gong	10
主动脉炎	zhu dong mai yan	2
主动脉狭窄	zhu dong mai xia zhai	6
主动脉瓣	zhu dong mai ban	16
主动脉瓣狭窄	zhu dong mai ban xia zhai	8
主动脉瓣置换术	zhu dong mai ban zhi huan shu	1
主动脉瓣赘生物	zhu dong mai ban zhui sheng wu	2
主动脉瓣返流	zhu dong mai ban fan liu	2
主动脉瘤	zhu dong mai liu	14
主动脉硬化	zhu dong mai ying hua	5
主动脉窦	zhu dong mai dou	4
主动脉结	zhu dong mai jie	2
主动脉缩窄	zhu dong mai suo zhai	1
主动转运	zhu dong zhuan yun	3
主动运动	zhu dong yun dong	7
主动运输	zhu dong yun shu	5
主基因	zhu ji yin	3
主管药师	zhu guan yao shi	8
主细胞	zhu xi bao	1
主要组织相容性复合体	zhu yao zu zhi xiang rong xing fu he ti	4
丽珠优可	li zhu you ke	2
丽珠得乐	li zhu de le	6
丽珠肠乐	li zhu chang le	5
丽达	li da	32
久强脑立清	jiu qiang nao li qing	3
久泄	jiu xie	4
义眼	yi yan	40
义齿性口炎	yi chi xing kou yan	5
乌司他丁	wu si ta ding	3
乌头碱	wu tou jian	6
乌拉地尔	wu la di er	3
乌梅丸	wu mei wan	4
乌梢蛇	wu shao she	8
乌洛托品	wu luo tuo pin	3
乌洛托品溶液	wu luo tuo pin rong ye	5
乌灵胶囊	wu ling jiao nang	6
乌灵菌粉	wu ling jun fen	2
乌苯美司	wu ben mei si	2
乌药	wu yao	7
乌蛇	wu she	1
乌蛇止痒丸	wu she zhi yang wan	3
乌贝颗粒	wu bei ke li	3
乌贼墨	wu zei mo	3
乌贼骨	wu zei gu	3
乌金口服液	wu jin kou fu ye	4
乌鸡增乳胶囊	wu ji zeng ru jiao nang	2
乌鸡白凤丸	wu ji bai feng wan	7
乌鸡白凤片	wu ji bai feng pian	2
乌鸡白凤颗粒	wu ji bai feng ke li	2
乌龙养血胶囊	wu long yang xue jiao nang	7
乐力	le li	5
乐力钙	le li gai	4
乐卡地平	le ka di ping	3
乐思哲	le si zhe	4
乔木层	qiao mu ceng	5
乙亚胺	yi ya an	3
乙双吗啉	yi shuang ma lin	4
乙型病毒性肝炎	yi xing bing du xing gan yan	9
乙型肝炎人免疫球蛋白	yi xing gan yan ren mian yi qiu dan bai	6
乙型肝炎免疫球蛋白	yi xing gan yan mian yi qiu dan bai	4
乙型肝炎疫苗	yi xing gan yan yi miao	5
乙型肝炎病毒	yi xing gan yan bing du	4
乙型脑炎减毒活疫苗	yi xing nao yan jian du huo yi miao	7
乙型脑炎灭活疫苗	yi xing nao yan mie huo yi miao	6
乙型脑炎纯化疫苗	yi xing nao yan chun hua yi miao	4
乙基纤维素	yi ji xian wei su	4
乙氧苯柳胺	yi yang ben liu an	2
乙水杨胺片	yi shui yang an pian	2
乙状结肠	yi zhuang jie chang	12
乙状结肠扭转	yi zhuang jie chang niu zhuan	1
乙状结肠系膜	yi zhuang jie chang xi mo	3
乙状结肠造瘘术	yi zhuang jie chang zao lou shu	2
乙状结肠镜检查	yi zhuang jie chang jing jian cha	4
乙琥胺	yi hu an	2
乙类传染病	yi lei chuan ran bing	10
乙肝两对半	yi gan liang dui ban	8
乙肝免疫球蛋白	yi gan mian yi qiu dan bai	8
乙肝核心抗体	yi gan he xin kang ti	4
乙肝清热解毒胶囊	yi gan qing re jie du jiao nang	2
乙肝灵丸	yi gan ling wan	3
乙肝灵胶囊	yi gan ling jiao nang	4
乙肝疫苗	yi gan yi miao	14
乙肝舒康	yi gan shu kang	3
乙肝舒康胶囊	yi gan shu kang jiao nang	3
乙肝表面抗体	yi gan biao mian kang ti	6
乙肝表面抗原	yi gan biao mian kang yuan	10
乙胺丁醇	yi an ding chun	2
乙胺吡嗪利福异烟片	yi an bi qin li fu yi yan pian	2
乙胺嘧啶	yi an mi ding	15
乙胺嘧啶片	yi an mi ding pian	2
乙脑减毒活疫苗	yi nao jian du huo yi miao	7
乙脑疫苗	yi nao yi miao	3
乙脑病毒	yi nao bing du	7
乙酰丙嗪	yi xian bing qin	1
乙酰半胱氨酸	yi xian ban guang an suan	3
乙酰半胱氨酸颗粒	yi xian ban guang an suan ke li	3
乙酰可待因	yi xian ke dai yin	4
乙酰唑胺	yi xian zuo an	4
乙酰唑胺片	yi xian zuo an pian	2
乙酰氨基酚	yi xian an ji fen	1
乙酰胆碱	yi xian dan jian	34
乙酰胆碱酯酶	yi xian dan jian zhi mei	34
乙酰胺注射液	yi xian an zhu she ye	4
乙酰螺旋霉素	yi xian luo xuan mei su	5
