# 青简领域词库：IT 与计算机，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
传递闭包	chuan di bi bao	4
伪代码	wei dai ma	34
伪像	wei xiang	6
伪元素	wei yuan su	12
伪分布	wei fen bu	10
伪分布式	wei fen bu shi	12
伪分布模式	wei fen bu mo shi	10
伪列	wei lie	11
伪指令	wei zhi ling	2
伪目标	wei mu biao	11
伪类选择器	wei lei xuan ze qi	11
伪静态	wei jing tai	12
伫列	zhu lie	9
伯努利数	bo nu li shu	3
伴生对象	ban sheng dui xiang	10
伸展树	shen zhan shu	2
伺服电机	si fu dian ji	7
似然函数	si ran han shu	13
似然方程	si ran fang cheng	5
似然比	si ran bi	1
伽马校正	jia ma jiao zheng	9
位与	wei yu	13
位取反	wei qu fan	4
位域	wei yu	1
位密度	wei mi du	6
位平面	wei ping mian	9
位异或	wei yi huo	11
位提交	wei ti jiao	5
位操作	wei cao zuo	11
位标识	wei biao zhi	1
位段	wei duan	7
位移传感器	wei yi chuan gan qi	3
位移动画	wei yi dong hua	10
位置传感器	wei zhi chuan gan qi	6
位置服务	wei zhi fu wu	10
位置透明性	wei zhi tou ming xing	1
位运算	wei yun suan	11
位运算符	wei yun suan fu	4
位通道	wei tong dao	6
位非	wei fei	39
位驱动	wei qu dong	5
低功耗蓝牙	di gong hao lan ya	19
低秩矩阵	di zhi ju zhen	8
低级格式化	di ji ge shi hua	1
低级语言	di ji yu yan	4
低耦合	di ou he	4
低通滤波器	di tong lv bo qi	47
体元	ti yuan	14
余弦相似度	yu xian xiang si du	8
作业优先级	zuo ye you xian ji	8
作业分割	zuo ye fen ge	6
作业分类	zuo ye fen lei	5
作业名	zuo ye ming	8
作业吞吐量	zuo ye tun tu liang	1
作业处理	zuo ye chu li	1
作业控制	zuo ye kong zhi	11
作业控制块	zuo ye kong zhi kuai	7
作业控制语言	zuo ye kong zhi yu yan	7
作业描述	zuo ye miao shu	7
作业文件	zuo ye wen jian	7
作业步	zuo ye bu	3
作业流	zuo ye liu	8
作业状态	zuo ye zhuang tai	3
作业目录	zuo ye mu lu	5
作业管理	zuo ye guan li	10
作业表	zuo ye biao	7
作业说明	zuo ye shuo ming	1
作业调度	zuo ye diao du	1
作业队列	zuo ye dui lie	10
作用域解析	zuo yong yu jie xi	9
作用域链	zuo yong yu lian	12
佩尔方程	pei er fang cheng	1
使用例子	shi yong li zi	6
使用场景	shi yong chang jing	37
使用帮助	shi yong bang zhu	11
使用手册	shi yong shou ce	26
使用指南	shi yong zhi nan	15
使用教程	shi yong jiao cheng	2
使用方	shi yong fang	8
使用细节	shi yong xi jie	2
使用说明	shi yong shuo ming	34
供应链管理	gong ying lian guan li	24
依存关系树	yi cun guan xi shu	5
依存结构	yi cun jie gou	5
依存语法	yi cun yu fa	5
依赖保持	yi lai bao chi	5
依赖倒置	yi lai dao zhi	11
依赖倒置原则	yi lai dao zhi yuan ze	12
依赖倒转原则	yi lai dao zhuan yuan ze	1
依赖关系	yi lai guan xi	33
依赖函数	yi lai han shu	1
依赖包	yi lai bao	9
依赖图	yi lai tu	7
依赖库	yi lai ku	1
依赖方	yi lai fang	8
依赖注入	yi lai zhu ru	4
依赖管理	yi lai guan li	2
侧抑制	ce yi zhi	7
侧拉菜单	ce la cai dan	8
侧滑删除	ce hua shan chu	9
侧滑栏	ce hua lan	9
侧滑菜单	ce hua cai dan	12
侧边栏	ce bian lan	15
便利构造器	bian li gou zao qi	11
便捷使用	bian jie shi yong	6
便携式计算机	bian xie shi ji suan ji	7
保存区	bao cun qu	10
保存图片	bao cun tu pian	3
保存当前表单	bao cun dang qian biao dan	6
保存数据	bao cun shu ju	5
保存文件	bao cun wen jian	8
保存更改	bao cun geng gai	11
保存状态	bao cun zhuang tai	38
保存网页	bao cun wang ye	4
保护方式	bao hu fang shi	7
保护模式	bao hu mo shi	17
保活	bao huo	9
保留两位小数	bao liu liang wei xiao shu	5
保留内存	bao liu nei cun	1
保留字	bao liu zi	4
保留小数	bao liu xiao shu	1
保留小数位数	bao liu xiao shu wei shu	9
保研机试	bao yan ji shi	7
信任列表	xin ren lie biao	1
信任链	xin ren lian	10
信元头	xin yuan tou	5
信号与槽	xin hao yu cao	10
信号交换	xin hao jiao huan	8
信号传输	xin hao chuan shu	31
信号和槽	xin hao he cao	11
信号完整性	xin hao wan zheng xing	5
信号情报	xin hao qing bao	20
信号操作	xin hao cao zuo	1
信号槽	xin hao cao	11
信号源阻抗	xin hao yuan zu kang	5
信号线	xin hao xian	15
信号重构	xin hao chong gou	5
信号量	xin hao liang	13
信噪比	xin zao bi	39
信息主体	xin xi zhu ti	3
信息主管	xin xi zhu guan	1
信息估计	xin xi gu ji	7
信息保存	xin xi bao cun	4
信息内容	xin xi nei rong	24
信息冗余	xin xi rong yu	9
信息分类	xin xi fen lei	4
信息加密	xin xi jia mi	3
信息协议	xin xi xie yi	1
信息反馈	xin xi fan kui	7
信息发布	xin xi fa bu	46
信息增益	xin xi zeng yi	5
信息处理系统	xin xi chu li xi tong	5
信息处理语言	xin xi chu li yu yan	5
信息字段	xin xi zi duan	10
信息学竞赛	xin xi xue jing sai	3
信息技术基础	xin xi ji shu ji chu	6
信息摘要算法	xin xi zhai yao suan fa	9
信息无障碍	xin xi wu zhang ai	7
信息服务器	xin xi fu wu qi	9
信息架构	xin xi jia gou	8
信息格式	xin xi ge shi	1
信息检索	xin xi jian suo	17
信息模型	xin xi mo xing	15
信息流模型	xin xi liu mo xing	7
信息浏览	xin xi liu lan	8
信息浏览服务	xin xi liu lan fu wu	7
信息港	xin xi gang	6
信息点播	xin xi dian bo	5
信息熵	xin xi shang	2
信息空间	xin xi kong jian	2
信息竞赛	xin xi jing sai	7
信息管理系统	xin xi guan li xi tong	8
信息结构	xin xi jie gou	1
信息编码	xin xi bian ma	6
信息读取	xin xi du qu	1
信息资源	xin xi zi yuan	34
信息资源管理	xin xi zi yuan guan li	9
信息采集	xin xi cai ji	24
信息隐蔽	xin xi yin bi	9
信息隐藏	xin xi yin cang	12
信用评分	xin yong ping fen	8
信道容量	xin dao rong liang	4
修复脚本	xiu fu jiao ben	7
修改全局设置	xiu gai quan ju she zhi	5
修改包名	xiu gai bao ming	9
修改字体	xiu gai zi ti	3
修改字段	xiu gai zi duan	12
修改密码	xiu gai mi ma	36
修改文件	xiu gai wen jian	10
修改时间	xiu gai shi jian	20
修改检测	xiu gai jian ce	7
修改项目名称	xiu gai xiang mu ming cheng	8
修理时间	xiu li shi jian	6
修饰符	xiu shi fu	29
倍增算法	bei zeng suan fa	10
倒排索引	dao pai suo yin	12
候选解	hou xuan jie	1
值传	zhi chuan	8
值传递	zhi chuan di	7
值参	zhi can	5
值对象	zhi dui xiang	5
值栈	zhi zhan	10
值类型	zhi lei xing	10
值调用	zhi diao yong	5
假信号	jia xin hao	12
假冒攻击	jia mao gong ji	5
假脱机	jia tuo ji	10
假脱机文件	jia tuo ji wen jian	7
假脱机系统	jia tuo ji xi tong	5
假言推理	jia yan tui li	3
假设检验	jia she jian yan	11
假设验证	jia she yan zheng	7
偏函数	pian han shu	10
偏好设置	pian hao she zhi	26
偏差控制	pian cha kong zhi	5
偏序	pian xu	34
偏最小二乘	pian zui xiao er cheng	8
偏特化	pian te hua	10
偏移量	pian yi liang	42
偏转线圈	pian zhuan xian quan	5
停机问题	ting ji wen ti	19
停止信号	ting zhi xin hao	19
停止线程	ting zhi xian cheng	12
停靠窗口	ting kao chuang kou	8
健壮性	jian zhuang xing	4
偶发故障	ou fa gu zhang	5
偶数场	ou shu chang	6
偶数扫描	ou shu sao miao	4
偶检验	ou jian yan	5
傅里叶分析	fu li ye fen xi	12
傅里叶描述子	fu li ye miao shu zi	6
傅里叶级数	fu li ye ji shu	12
储存库	chu cun ku	29
傲游浏览器	ao you liu lan qi	2
像素点	xiang su dian	47
僵尸网络	jiang shi wang luo	13
僵尸进程	jiang shi jin cheng	5
僵死进程	jiang si jin cheng	11
允许中断	yun xu zhong duan	10
元信令	yuan xin ling	7
元字符	yuan zi fu	3
元数据库	yuan shu ju ku	1
元数据驱动	yuan shu ju qu dong	1
元文件	yuan wen jian	1
元模型	yuan mo xing	11
元注解	yuan zhu jie	11
元知识	yuan zhi shi	5
元素定位	yuan su ding wei	11
元素节点	yuan su jie dian	13
元组	yuan zu	34
元组关系演算	yuan zu guan xi yan suan	5
元编程	yuan bian cheng	6
元表	yuan biao	3
元语法	yuan yu fa	7
元语言	yuan yu yan	6
兄弟连	xiong di lian	33
兆赫兹	zhao he zi	21
先入先出队列	xian ru xian chu dui lie	7
先序	xian xu	3
先序遍历	xian xu bian li	13
先来先服务	xian lai xian fu wu	11
先进先出	xian jin xian chu	18
先进后出	xian jin hou chu	14
先进控制	xian jin kong zhi	6
先进操作系统	xian jin cao zuo xi tong	5
先验概率	xian yan gai lv	15
光亮度	guang liang du	12
光口	guang kou	4
光子计算机	guang zi ji suan ji	6
光存储器	guang cun chu qi	5
光学图像	guang xue tu xiang	11
光带	guang dai	7
光强	guang qiang	43
光栅化	guang shan hua	10
光栅扫描	guang shan sao miao	8
光栅显示	guang shan xian shi	2
光流	guang liu	20
光流场	guang liu chang	9
光流法	guang liu fa	10
光照模型	guang zhao mo xing	11
光笔	guang bi	32
光线投射	guang xian tou she	2
光线方向	guang xian fang xiang	1
光线跟踪	guang xian gen zong	6
光线追踪	guang xian zhui zong	47
克林闭包	ke lin bi bao	5
免安装	mian an zhuang	9
免密码	mian mi ma	1
免密码登录	mian mi ma deng lu	11
免登陆	mian deng lu	10
免证书	mian zheng shu	8
免费图标	mian fei tu biao	8
免费版	mian fei ban	32
免费短信	mian fei duan xin	25
免费网	mian fei wang	2
免费资源	mian fei zi yuan	2
免费软件	mian fei ruan jian	25
入事件	ru shi jian	1
入侵检测	ru qin jian ce	5
入侵检测系统	ru qin jian ce xi tong	6
入栈	ru zhan	15
全不选	quan bu xuan	10
全双工传输	quan shuang gong chuan shu	7
全局事务	quan ju shi wu	5
全局优化	quan ju you hua	2
全局共享资源	quan ju gong xiang zi yuan	5
全局函数	quan ju han shu	3
全局变量	quan ju bian liang	21
全局存储器	quan ju cun chu qi	8
全局对象	quan ju dui xiang	4
全局应用	quan ju ying yong	9
全局搜索	quan ju sou suo	3
全局故障	quan ju gu zhang	5
全局查询	quan ju cha xun	7
全局设置	quan ju she zhi	1
全屏幕	quan ping mu	12
全屏截图	quan ping jie tu	1
全屏显示	quan ping xian shi	3
全息图	quan xi tu	13
全排列	quan pai lie	29
全排列算法	quan pai lie suan fa	9
全排序	quan pai xu	1
全文搜索	quan wen sou suo	8
全文检索	quan wen jian suo	2
全文索引	quan wen suo yin	2
全景教程	quan jing jiao cheng	6
全景漫游	quan jing man you	2
全景视频	quan jing shi pin	12
全期望公式	quan qi wang gong shi	6
全栈工程师	quan zhan gong cheng shi	2
全球地址	quan qiu di zhi	7
全相联映射	quan xiang lian ying she	7
全称域名	quan cheng yu ming	6
全角	quan jiao	6
全连接	quan lian jie	6
全选反选	quan xuan fan xuan	7
全部刷新	quan bu shua xin	1
全限定域名	quan xian ding yu ming	7
八叉树	ba cha shu	10
八大排序算法	ba da pai xu suan fa	9
八数码	ba shu ma	9
八数码问题	ba shu ma wen ti	10
八皇后	ba huang hou	10
八皇后问题	ba huang hou wen ti	2
八进制	ba jin zhi	9
八进制数字	ba jin zhi shu zi	11
公众号开发	gong zhong hao kai fa	1
公共事件	gong gong shi jian	32
公共信息模型	gong gong xin xi mo xing	6
公共域	gong gong yu	1
公共子串	gong gong zi chuan	11
公共子序列	gong gong zi xu lie	11
公共对象	gong gong dui xiang	10
公共总线	gong gong zong xian	5
公共数据	gong gong shu ju	16
公共模数	gong gong mo shu	6
公共网关接口	gong gong wang guan jie kou	9
公共节点	gong gong jie dian	3
公共语言	gong gong yu yan	3
公共语言规范	gong gong yu yan gui fan	8
公共账号	gong gong zhang hao	8
公司项目	gong si xiang mu	12
公告板系统	gong gao ban xi tong	5
公平锁	gong ping suo	11
公开类	gong kai lei	9
公开课视频	gong kai ke shi pin	8
公式推导	gong shi tui dao	9
公式编辑器	gong shi bian ji qi	7
公有云	gong you yun	11
公有域	gong you yu	1
公有成员	gong you cheng yuan	12
公用数据网	gong yong shu ju wang	6
公钥加密	gong yue jia mi	21
公钥密码	gong yue mi ma	11
六十四卦	liu shi si gua	22
六大原则	liu da yuan ze	1
六度分离	liu du fen li	3
共享上网	gong xiang shang wang	9
共享内存	gong xiang nei cun	18
共享内存结构	gong xiang nei cun jie gou	8
共享变量	gong xiang bian liang	1
共享名	gong xiang ming	10
共享存储	gong xiang cun chu	4
共享存储器	gong xiang cun chu qi	10
共享库	gong xiang ku	6
共享控件	gong xiang kong jian	5
共享操作系统	gong xiang cao zuo xi tong	7
共享数据	gong xiang shu ju	9
共享文件	gong xiang wen jian	21
共享文件夹	gong xiang wen jian jia	1
共享段	gong xiang duan	9
共享白板	gong xiang bai ban	5
共享目录	gong xiang mu lu	1
共享程序集	gong xiang cheng xu ji	2
共享软件	gong xiang ruan jian	10
共享锁	gong xiang suo	1
共享页表	gong xiang ye biao	5
共享高速缓存	gong xiang gao su huan cun	6
共生矩阵	gong sheng ju zhen	8
共用体	gong yong ti	1
共轭梯度法	gong e ti du fa	3
关于数据库	guan yu shu ju ku	1
关于程序员	guan yu cheng xu yuan	9
关系代数	guan xi dai shu	1
关系型数据库	guan xi xing shu ju ku	12
关系数据库	guan xi shu ju ku	33
关系数据模型	guan xi shu ju mo xing	3
关系映射	guan xi ying she	13
关系模型	guan xi mo xing	17
关系模式分解	guan xi mo shi fen jie	6
关系演算	guan xi yan suan	8
关系系统	guan xi xi tong	8
关系运算	guan xi yun suan	11
关系运算符	guan xi yun suan fu	3
关系逻辑	guan xi luo ji	1
关联关系	guan lian guan xi	8
关联分析	guan lian fen xi	6
关联容器	guan lian rong qi	15
关联对象	guan lian dui xiang	1
关联映射	guan lian ying she	11
关联查询	guan lian cha xun	12
关联源码	guan lian yuan ma	9
关联矩阵	guan lian ju zhen	9
关联类	guan lian lei	11
关联规则	guan lian gui ze	2
关联集	guan lian ji	6
关节点	guan jie dian	10
关键帧	guan jian zhen	8
关键帧动画	guan jian zhen dong hua	11
关键成功因素	guan jian cheng gong yin su	1
关键程度	guan jian cheng du	6
关键计算	guan jian ji suan	6
关键词布局	guan jian ci bu ju	7
关键路径	guan jian lu jing	17
关闭全部	guan bi quan bu	2
关闭句柄	guan bi ju bing	10
关闭并保存	guan bi bing bao cun	7
关闭所有标签	guan bi suo you biao qian	6
关闭按钮	guan bi an niu	2
关闭标签	guan bi biao qian	11
关闭程序	guan bi cheng xu	7
关闭窗口	guan bi chuang kou	4
关闭记录集	guan bi ji lu ji	9
关闭进程句柄	guan bi jin cheng ju bing	6
关闭键盘	guan bi jian pan	3
兼容字符	jian rong zi fu	2
兼容性测试	jian rong xing ce shi	8
兼容性问题	jian rong xing wen ti	6
兼容机制	jian rong ji zhi	6
兼容模式	jian rong mo shi	5
兼容计算机	jian rong ji suan ji	1
兼容问题	jian rong wen ti	11
内像素	nei xiang su	1
内务操作	nei wu cao zuo	4
内含逻辑	nei han luo ji	1
内存优化	nei cun you hua	1
内存保护	nei cun bao hu	10
内存共享	nei cun gong xiang	3
内存分布	nei cun fen bu	11
内存分析	nei cun fen xi	12
内存分配	nei cun fen pei	11
内存分配策略	nei cun fen pei ce lve	11
内存区域	nei cun qu yu	9
内存可见性	nei cun ke jian xing	11
内存四区	nei cun si qu	8
内存回收	nei cun hui shou	14
内存地址	nei cun di zhi	30
内存对齐	nei cun dui qi	3
内存屏障	nei cun ping zhang	4
内存布局	nei cun bu ju	2
内存拷贝	nei cun kao bei	13
内存插槽	nei cun cha cao	9
内存操作	nei cun cao zuo	4
内存数据库	nei cun shu ju ku	12
内存整理	nei cun zheng li	10
内存映射	nei cun ying she	6
内存映射文件	nei cun ying she wen jian	12
内存机制	nei cun ji zhi	11
内存检测	nei cun jian ce	10
内存模块	nei cun mo kuai	31
内存模型	nei cun mo xing	1
内存泄漏	nei cun xie lou	7
内存泄露	nei cun xie lou	2
内存溢出	nei cun yi chu	2
内存碎片	nei cun sui pian	14
内存空间	nei cun kong jian	27
内存管理	nei cun guan li	35
内存管理机制	nei cun guan li ji zhi	13
内存结构	nei cun jie gou	1
内存缓存	nei cun huan cun	1
内存警告	nei cun jing gao	12
内存计算	nei cun ji suan	11
内存调试	nei cun tiao shi	11
内存越界	nei cun yue jie	10
内存释放	nei cun shi fang	13
内存问题	nei cun wen ti	13
内容协商	nei rong xie shang	11
内容控件	nei rong kong jian	9
内容控制	nei rong kong zhi	2
内容提供器	nei rong ti gong qi	11
内容提供者	nei rong ti gong zhe	5
内容观察者	nei rong guan cha zhe	10
内容页	nei rong ye	3
内建函数	nei jian han shu	3
内排序	nei pai xu	11
内支付	nei zhi fu	12
内核函数	nei he han shu	5
内核分析	nei he fen xi	8
内核升级	nei he sheng ji	2
内核原理	nei he yuan li	8
内核同步	nei he tong bu	9
内核启动	nei he qi dong	5
内核对象	nei he dui xiang	14
内核开发	nei he kai fa	3
内核态	nei he tai	11
内核数据结构	nei he shu ju jie gou	11
内核服务	nei he fu wu	1
内核栈	nei he zhan	11
内核模块	nei he mo kuai	6
内核移植	nei he yi zhi	1
内核程序	nei he cheng xu	11
内核空间	nei he kong jian	7
内核线程	nei he xian cheng	2
内核编程	nei he bian cheng	10
内核编译	nei he bian yi	12
内核调试	nei he tiao shi	1
内核进程	nei he jin cheng	1
内核配置	nei he pei zhi	12
内核重新编译	nei he chong xin bian yi	7
内核链表	nei he lian biao	9
内核驱动	nei he qu dong	6
内模式	nei mo shi	10
内网映射	nei wang ying she	8
内网渗透	nei wang shen tou	8
内网穿透	nei wang chuan tou	1
内置函数	nei zhi han shu	6
内置对象	nei zhi dui xiang	13
内置类型	nei zhi lei xing	13
内联元素	nei lian yuan su	12
内联函数	nei lian han shu	4
内联汇编	nei lian hui bian	2
内联网	nei lian wang	12
内聚性	nei ju xing	8
内裁剪	nei cai jian	5
内边距	nei bian ju	13
内连接	nei lian jie	12
内部函数	nei bu han shu	1
内部威胁	nei bu wei xie	4
内部存储	nei bu cun chu	17
内部寄存器	nei bu ji cun qi	1
内部对象	nei bu dui xiang	1
内部样式	nei bu yang shi	1
内部样式表	nei bu yang shi biao	10
内部碎片	nei bu sui pian	2
内部类	nei bu lei	2
内部级	nei bu ji	6
内部网关协议	nei bu wang guan xie yi	9
内部错误	nei bu cuo wu	3
再压缩	zai ya suo	6
再启动	zai qi dong	22
再工程	zai gong cheng	8
冒泡排序	mao pao pai xu	1
冒泡排序法	mao pao pai xu fa	11
冒泡法	mao pao fa	1
冒泡算法	mao pao suan fa	10
冒烟测试	mao yan ce shi	21
写任务	xie ren wu	6
写保护	xie bao hu	11
写入文件	xie ru wen jian	7
写内存	xie nei cun	1
写出数据	xie chu shu ju	11
写到内存	xie dao nei cun	10
写后写	xie hou xie	3
写后读	xie hou du	8
写周期	xie zhou qi	1
写字段	xie zi duan	9
写数据	xie shu ju	15
写文档	xie wen dang	3
写无效	xie wu xiao	6
写时复制	xie shi fu zhi	2
写时拷贝	xie shi kao bei	11
写注册项	xie zhu ce xiang	5
写环境变量	xie huan jing bian liang	5
写直达	xie zhi da	1
写访问	xie fang wen	3
写通过	xie tong guo	8
冰刃	bing ren	6
冰盾	bing dun	4
冲突检测	chong tu jian ce	2
冲突消解	chong tu xiao jie	5
冲突解决	chong tu jie jue	15
