# 青简领域词库：IT 与计算机，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
会话密钥	hui hua mi yue	4
会话层	hui hua ceng	1
会话技术	hui hua ji shu	8
会话状态	hui hua zhuang tai	1
会话管理	hui hua guan li	1
传值参数	chuan zhi can shu	2
传参数	chuan can shu	13
传引用	chuan yin yong	3
传播误差	chuan bo wu cha	6
传智播客	chuan zhi bo ke	12
传真服务	chuan zhen fu wu	11
传真服务器	chuan zhen fu wu qi	5
传真软件	chuan zhen ruan jian	6
传统编程语言	chuan tong bian cheng yu yan	7
传统网络	chuan tong wang luo	1
传统蓝牙	chuan tong lan ya	9
传统语法	chuan tong yu fa	4
传输媒体	chuan shu mei ti	2
传输层	chuan shu ceng	46
传输延迟	chuan shu yan chi	6
传输损耗	chuan shu sun hao	1
传输控制协议	chuan shu kong zhi xie yi	21
传输错误	chuan shu cuo wu	3
传递函数依赖	chuan di han shu yi lai	9
传递参数	chuan di can shu	3
传递对象	chuan di dui xiang	13
传递性	chuan di xing	7
传递数据	chuan di shu ju	4
