# 青简领域词库：成语，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
了若指掌	liao ruo zhi zhang	26
予取予夺	yu qu yu duo	1
予取予求	yu qu yu qiu	12
争前恐后	zheng qian kong hou	6
争妍斗艳	zheng yan dou yan	1
争强斗狠	zheng qiang dou hen	2
事不关己高高挂起	shi bu guan ji gao gao gua qi	10
事出无奈	shi chu wu nai	2
事后诸葛亮	shi hou zhu ge liang	33
事无大小	shi wu da xiao	9
事缓则圆	shi huan ze yuan	5
二人同心	er ren tong xin	2
二八年华	er ba nian hua	11
二者不可得兼	er zhe bu ke de jian	14
二者必居其一	er zhe bi ju qi yi	1
于今为烈	yu jin wei lie	7
于心何忍	yu xin he ren	36
云中白鹤	yun zhong bai he	6
云开雾散	yun kai wu san	17
云泥之别	yun ni zhi bie	5
云谲波诡	yun jue bo gui	7
互为表里	hu wei biao li	2
互相推诿	hu xiang tui wei	11
五劳七伤	wu lao qi shang	1
五味俱全	wu wei ju quan	12
五子登科	wu zi deng ke	7
五毒俱全	wu du ju quan	17
五福临门	wu fu lin men	27
五谷不分	wu gu bu fen	9
五里雾中	wu li wu zhong	2
井井有序	jing jing you xu	2
井水不犯河水	jing shui bu fan he shui	38
井然有序	jing ran you xu	29
亘古未有	gen gu wei you	2
亡国之音	wang guo zhi yin	4
亡国灭种	wang guo mie zhong	3
亢龙有悔	kang long you hui	8
交口称赞	jiao kou cheng zan	9
交口赞誉	jiao kou zan yu	1
交杯换盏	jiao bei huan zhan	1
亦可覆舟	yi ke fu zhou	8
亦复如是	yi fu ru shi	10
亲临其境	qin lin qi jing	8
亲仁善邻	qin ren shan lin	9
亲如手足	qin ru shou zu	5
亲痛仇快	qin tong chou kuai	1
亲者痛仇者快	qin zhe tong chou zhe kuai	5
人不为己天诛地灭	ren bu wei ji tian zhu di mie	33
人不犯我	ren bu fan wo	34
人不知鬼不觉	ren bu zhi gui bu jue	2
人世沧桑	ren shi cang sang	2
人为刀俎	ren wei dao zu	4
人为刀俎我为鱼肉	ren wei dao zu wo wei yu rou	8
人为财死	ren wei cai si	7
人之将死	ren zhi jiang si	2
