# 青简领域词库：成语，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
腾空而起	teng kong er qi	7
膏腴之地	gao yu zhi di	1
自以为得计	zi yi wei de ji	7
自出机杼	zi chu ji zhu	6
自取灭亡	zi qu mie wang	40
自命清高	zi ming qing gao	22
自成一格	zi cheng yi ge	22
自我治疗	zi wo zhi liao	14
自我表现	zi wo biao xian	9
自掘坟墓	zi jue fen mu	21
自有公论	zi you gong lun	8
自由放任	zi you fang ren	34
自由泛滥	zi you fan lan	6
自视甚高	zi shi shen gao	34
自觉自愿	zi jue zi yuan	11
自食恶果	zi shi e guo	23
臭不可闻	chou bu ke wen	11
臭名昭彰	chou ming zhao zhang	8
至亲好友	zhi qin hao you	14
至亲骨肉	zhi qin gu rou	5
至圣先师	zhi sheng xian shi	32
至死不渝	zhi si bu yu	18
舌战群儒	she zhan qun ru	18
舍命救人	she ming jiu ren	2
舍命陪君子	she ming pei jun zi	39
舍己为公	she ji wei gong	6
舍得一身剐	she de yi shen gua	2
舍本求末	she ben qiu mo	8
舍身为国	she shen wei guo	6
舍身成仁	she shen cheng ren	2
船坚炮利	chuan jian pao li	6
良知良能	liang zhi liang neng	5
良禽择木	liang qin ze mu	4
良莠不分	liang you bu fen	8
良辰吉日	liang chen ji ri	5
艰深晦涩	jian shen hui se	1
艰苦创业	jian ku chuang ye	18
艰苦朴素	jian ku pu su	48
艰难困苦	jian nan kun ku	27
艰难曲折	jian nan qu zhe	4
色胆包天	se dan bao tian	9
艺高人胆大	yi gao ren dan da	47
艺高胆大	yi gao dan da	4
芙蓉出水	fu rong chu shui	2
芝兰之室	zhi lan zhi shi	1
芬芳馥郁	fen fang fu yu	2
花无百日红	hua wu bai ri hong	2
花样百出	hua yang bai chu	15
花甲之年	hua jia zhi nian	10
花红柳绿	hua hong liu lv	17
花花型警	hua hua xing jing	2
花香鸟语	hua xiang niao yu	3
苍松翠柏	cang song cui bai	2
苍白无力	cang bai wu li	5
苍翠欲滴	cang cui yu di	1
若有所悟	ruo you suo wu	2
若有若无	ruo you ruo wu	30
若烹小鲜	ruo peng xiao xian	2
若要人不知	ruo yao ren bu zhi	23
苦不聊生	ku bu liao sheng	7
苦乐不均	ku le bu jun	2
苦口良药	ku kou liang yao	36
苦心积虑	ku xin ji lv	6
苦心经营	ku xin jing ying	13
苦海无边	ku hai wu bian	48
苦难深重	ku nan shen zhong	9
英姿勃勃	ying zi bo bo	8
英姿焕发	ying zi huan fa	1
英雄无用武之地	ying xiong wu yong wu zhi di	3
英雄豪杰	ying xiong hao jie	27
英雄辈出	ying xiong bei chu	5
茂林修竹	mao lin xiu zhu	5
荆楚岁时记	jing chu sui shi ji	6
草率从事	cao shuai cong shi	6
草船借箭	cao chuan jie jian	3
草草了事	cao cao liao shi	9
草草收兵	cao cao shou bing	7
草蛇灰线	cao she hui xian	7
草长莺飞	cao zhang ying fei	11
荒唐无稽	huang tang wu ji	4
荒淫无度	huang yin wu du	5
荒淫无耻	huang yin wu chi	3
荒淫无道	huang yin wu dao	7
荟萃一堂	hui cui yi tang	8
荣华富贵	rong hua fu gui	19
荦荦大端	luo luo da duan	6
荦荦大者	luo luo da zhe	6
药到病除	yao dao bing chu	48
莫可奈何	mo ke nai he	2
获益匪浅	huo yi fei qian	14
莺飞草长	ying fei cao zhang	8
萎靡不振	wei mi bu zhen	49
落拓不羁	luo tuo bu ji	3
落日余晖	luo ri yu hui	2
落花有意	luo hua you yi	28
落花有意流水无情	luo hua you yi liu shui wu qing	6
落英缤纷	luo ying bin fen	14
落草为寇	luo cao wei kou	5
蓬生麻中	peng sheng ma zhong	1
蓬荜生辉	peng bi sheng hui	26
蓬蓬勃勃	peng peng bo bo	9
蔚成风气	wei cheng feng qi	1
薄情寡义	bo qing gua yi	49
薄技在身	bo ji zai shen	1
薪尽火传	xin jin huo chuan	1
藏之名山	cang zhi ming shan	1
虎口逃生	hu kou tao sheng	1
虎落平阳	hu luo ping yang	13
虚度年华	xu du nian hua	23
虚晃一枪	xu huang yi qiang	7
虚虚实实	xu xu shi shi	18
虱多不痒	shi duo bu yang	1
虽死犹生	sui si you sheng	3
蚁穴溃堤	yi xue kui di	6
蚍蜉撼树	pi fu han shu	4
蚕食鲸吞	can shi jing tun	2
蛇蝎心肠	she xie xin chang	27
蛊惑人心	gu huo ren xin	25
蛮横无理	man heng wu li	13
蜀中无大将	shu zhong wu da jiang	6
蜂拥而入	feng yong er ru	4
蜂拥而出	feng yong er chu	2
蜂拥而来	feng yong er lai	6
蜕化变质	tui hua bian zhi	2
蜚短流长	fei duan liu chang	4
蝇头小利	ying tou xiao li	15
蝇头小楷	ying tou xiao kai	1
螳臂挡车	tang bi dang che	10
螳螂捕蝉	tang lang bu chan	14
螳螂捕蝉黄雀在后	tang lang bu chan huang que zai hou	15
蟾宫折桂	chan gong zhe gui	1
血债累累	xue zhai lei lei	1
血光之灾	xue guang zhi zai	3
血性男儿	xue xing nan er	8
血染沙场	xue ran sha chang	1
血泪斑斑	xue lei ban ban	3
血流成河	xue liu cheng he	11
血迹斑斑	xue ji ban ban	20
行不更名	xing bu geng ming	11
行己有耻	xing ji you chi	6
行有余力	xing you yu li	3
行百里者半九十	xing bai li zhe ban jiu shi	11
行而不远	xing er bu yuan	7
行行出状元	hang hang chu zhuang yuan	35
街坊四邻	jie fang si lin	5
街坊邻里	jie fang lin li	3
街头巷议	jie tou xiang yi	7
衣来伸手	yi lai shen shou	12
衣来伸手饭来张口	yi lai shen shou fan lai zhang kou	18
衣衫褴褛	yi shan lan lv	26
衣锦夜行	yi jin ye xing	3
衣香鬓影	yi xiang bin ying	3
补偏救弊	bu pian jiu bi	5
表里一致	biao li yi zhi	1
表里山河	biao li shan he	1
衮衮诸公	gun gun zhu gong	7
袅袅娜娜	niao niao nuo nuo	1
袒胸露背	tan xiong lu bei	2
装潢门面	zhuang huang men mian	6
装点门面	zhuang dian men mian	4
褒衣博带	bao yi bo dai	1
西出阳关无故人	xi chu yang guan wu gu ren	29
要死要活	yao si yao huo	1
要而言之	yao er yan zhi	7
覆巢之下无完卵	fu chao zhi xia wu wan luan	1
见利思义	jian li si yi	2
见势不妙	jian shi bu miao	15
见惯不惊	jian guan bu jing	8
见机而作	jian ji er zuo	2
见物不见人	jian wu bu jian ren	9
见猎心喜	jian lie xin xi	1
见贤思齐	jian xian si qi	19
见风转舵	jian feng zhuan duo	6
见龙卸甲	jian long xie jia	4
观者云集	guan zhe yun ji	6
观者如云	guan zhe ru yun	7
规行矩步	gui xing ju bu	2
视为儿戏	shi wei er xi	7
视为畏途	shi wei wei tu	6
视为知己	shi wei zhi ji	3
视同儿戏	shi tong er xi	7
视如珍宝	shi ru zhen bao	4
视死如生	shi si ru sheng	6
视民如伤	shi min ru shang	6
视而不见听而不闻	shi er bu jian ting er bu wen	3
觊觎之心	ji yu zhi xin	2
解放思想	jie fang si xiang	19
解民倒悬	jie min dao xuan	2
解疑释惑	jie yi shi huo	2
解铃还须系铃人	jie ling hai xu xi ling ren	10
触手可及	chu shou ke ji	13
触景伤情	chu jing shang qing	44
言之无文	yan zhi wu wen	6
言之谆谆	yan zhi zhun zhun	7
言人人殊	yan ren ren shu	7
言出法随	yan chu fa sui	6
言必信行必果	yan bi xin xing bi guo	1
言必有据	yan bi you ju	6
言无不尽	yan wu bu jin	15
言有尽而意无穷	yan you jin er yi wu qiong	6
言笑晏晏	yan xiao yan yan	2
言简意深	yan jian yi shen	1
言者谆谆	yan zhe zhun zhun	7
言而有信	yan er you xin	25
言行一致	yan xing yi zhi	29
言行不一	yan xing bu yi	22
言谈举止	yan tan ju zhi	28
言近旨远	yan jin zhi yuan	6
誉满天下	yu man tian xia	2
誓死不屈	shi si bu qu	6
计上心头	ji shang xin tou	1
计上心来	ji shang xin lai	1
认祖归宗	ren zu gui zong	18
议论纷纭	yi lun fen yun	7
议论纷纷	yi lun fen fen	47
议论风生	yi lun feng sheng	11
讲信修睦	jiang xin xiu mu	9
讲经说法	jiang jing shuo fa	16
讷言敏行	ne yan min xing	1
证据确凿	zheng ju que zao	44
识时务者为俊杰	shi shi wu zhe wei jun jie	28
识途老马	shi tu lao ma	6
诗中有画	shi zhong you hua	4
诗礼传家	shi li chuan jia	3
诗酒风流	shi jiu feng liu	6
诚心实意	cheng xin shi yi	5
诚心正意	cheng xin zheng yi	6
诛心之论	zhu xin zhi lun	2
话不投机	hua bu tou ji	2
话不投机半句多	hua bu tou ji ban ju duo	7
话里带刺	hua li dai ci	6
诡谲多变	gui jue duo bian	5
语不惊人	yu bu jing ren	9
语不惊人死不休	yu bu jing ren si bu xiu	1
诱敌深入	you di shen ru	29
诲淫诲盗	hui yin hui dao	7
说千道万	shuo qian dao wan	7
说时迟那时快	shuo shi chi na shi kuai	20
诸恶莫作	zhu e mo zuo	6
读书破万卷	du shu po wan juan	11
谁是谁非	shui shi shui fei	26
调和阴阳	tiao he yin yang	3
调和鼎鼐	tiao he ding nai	2
谆谆告诫	zhun zhun gao jie	1
谆谆善诱	zhun zhun shan you	5
谆谆教导	zhun zhun jiao dao	8
谈古论今	tan gu lun jin	5
谈天论地	tan tian lun di	1
谈笑有鸿儒	tan xiao you hong ru	16
谈笑自如	tan xiao zi ru	2
谋事在人	mou shi zai ren	32
谓予不信	wei yu bu xin	6
谦虚谨慎	qian xu jin shen	20
谬以千里	miu yi qian li	6
谬种流传	miu zhong liu chuan	7
谬误百出	miu wu bai chu	1
谷贱伤农	gu jian shang nong	9
豁达大度	huo da da du	4
豪情壮志	hao qing zhuang zhi	7
豺狼当道	chai lang dang dao	2
豺狼虎豹	chai lang hu bao	13
负债累累	fu zhai lei lei	47
负重致远	fu zhong zhi yuan	6
财不露白	cai bu lu bai	8
财务主管	cai wu zhu guan	34
财源滚滚	cai yuan gun gun	7
财运亨通	cai yun heng tong	28
败事有余	bai shi you yu	7
败兴而归	bai xing er gui	3
败军之将	bai jun zhi jiang	3
败絮其中	bai xu qi zhong	14
贩夫走卒	fan fu zou zu	4
贪多嚼不烂	tan duo jiao bu lan	7
贪心不足	tan xin bu zu	23
贪财好色	tan cai hao se	3
贫困潦倒	pin kun liao dao	18
贫贱不移	pin jian bu yi	6
贫贱不能移	pin jian bu neng yi	9
贯彻始终	guan che shi zhong	10
贵在知心	gui zai zhi xin	1
费心劳力	fei xin lao li	2
费心劳神	fei xin lao shen	2
贻人口实	yi ren kou shi	1
贼心不死	zei xin bu si	8
贿赂公行	hui lu gong xing	4
赌咒发誓	du zhou fa shi	2
赏心乐事	shang xin le shi	7
赔了夫人又折兵	pei le fu ren you zhe bing	15
赞口不绝	zan kou bu jue	1
赞叹不已	zan tan bu yi	28
赤身露体	chi shen lu ti	1
走为上策	zou wei shang ce	17
走为上计	zou wei shang ji	4
赶鸭子上架	gan ya zi shang jia	38
趁人之危	chen ren zhi wei	19
超然独立	chao ran du li	6
超群出众	chao qun chu zhong	2
趋吉避凶	qu ji bi xiong	11
趑趄不前	zi ju bu qian	7
足不出门	zu bu chu men	4
跃马扬鞭	yue ma yang bian	2
跑了和尚跑不了庙	pao le he shang pao bu liao miao	1
路人皆知	lu ren jie zhi	35
路见不平拔刀相助	lu jian bu ping ba dao xiang zhu	17
路遥知马力	lu yao zhi ma li	40
踉踉跄跄	liang liang qiang qiang	10
踌躇不决	chou chu bu jue	1
踏破铁鞋	ta po tie xie	4
踏破铁鞋无觅处	ta po tie xie wu mi chu	8
踟蹰不前	chi chu bu qian	1
踽踽独行	ju ju du xing	3
身体发肤	shen ti fa fu	40
身单力薄	shen dan li bo	2
身历其境	shen li qi jing	17
身在曹营心在汉	shen zai cao ying xin zai han	39
身在江湖	shen zai jiang hu	4
身心交瘁	shen xin jiao cui	7
身教重于言教	shen jiao zhong yu yan jiao	2
身无长物	shen wu chang wu	9
躬行实践	gong xing shi jian	2
躬逢其盛	gong feng qi sheng	1
车如流水马如龙	che ru liu shui ma ru long	6
转悲为喜	zhuan bei wei xi	1
转战千里	zhuan zhan qian li	1
转眼之间	zhuan yan zhi jian	26
轮流做庄	lun liu zuo zhuang	5
软弱无力	ruan ruo wu li	24
软弱无能	ruan ruo wu neng	20
轻如鸿毛	qing ru hong mao	7
轻徭薄赋	qing yao bo fu	3
轻装前进	qing zhuang qian jin	3
轻装简从	qing zhuang jian cong	3
轻言细语	qing yan xi yu	5
轻诺寡信	qing nuo gua xin	6
载沉载浮	zai chen zai fu	6
载舟覆舟	zai zhou fu zhou	6
辩才无碍	bian cai wu ai	7
达则兼济天下	da ze jian ji tian xia	19
达官显宦	da guan xian huan	1
迁客骚人	qian ke sao ren	6
迁怒于人	qian nu yu ren	5
迂回曲折	yu hui qu zhe	14
过五关斩六将	guo wu guan zhan liu jiang	13
过从甚密	guo cong shen mi	26
过江之鲫	guo jiang zhi ji	1
过河卒子	guo he zu zi	1
过而能改	guo er neng gai	1
过路财神	guo lu cai shen	1
过门不入	guo men bu ru	3
迎神赛会	ying shen sai hui	8
迎风招展	ying feng zhao zhan	3
近乡情怯	jin xiang qing qie	12
近在眉睫	jin zai mei jie	5
近悦远来	jin yue yuan lai	8
还我河山	huan wo he shan	10
这山望着那山高	zhe shan wang zhe na shan gao	7
进德修业	jin de xiu ye	6
进身之阶	jin shen zhi jie	1
进退失据	jin tui shi ju	13
进退有度	jin tui you du	7
进道若退	jin dao ruo tui	7
远亲不如近邻	yuan qin bu ru jin lin	18
远亲近邻	yuan qin jin lin	3
远水不解近渴	yuan shui bu jie jin ke	9
远水解不了近渴	yuan shui jie bu liao jin ke	9
连中三元	lian zhong san yuan	12
连战皆捷	lian zhan jie jie	3
连日连夜	lian ri lian ye	2
连绵不断	lian mian bu duan	22
连绵不绝	lian mian bu jue	47
连绵起伏	lian mian qi fu	15
迟暮之年	chi mu zhi nian	4
迟疑不决	chi yi bu jue	5
迟疑不定	chi yi bu ding	1
迟疑观望	chi yi guan wang	6
迥然不同	jiong ran bu tong	28
迷惑不解	mi huo bu jie	6
追根求源	zhui gen qiu yuan	7
追根溯源	zhui gen su yuan	16
追根问底	zhui gen wen di	1
追风逐日	zhui feng zhu ri	6
送君千里	song jun qian li	13
送旧迎新	song jiu ying xin	1
适者生存	shi zhe sheng cun	20
适逢其时	shi feng qi shi	9
逆我者亡	ni wo zhe wang	5
逆耳之言	ni er zhi yan	1
选贤与能	xuan xian yu neng	3
选贤举能	xuan xian ju neng	6
逐句逐字	zhu ju zhu zi	6
逐鹿中原	zhu lu zhong yuan	11
通力合作	tong li he zuo	45
逝者如斯	shi zhe ru si	10
逞强好胜	cheng qiang hao sheng	2
逢山开路	feng shan kai lu	2
逢山开路遇水搭桥	feng shan kai lu yu shui da qiao	6
逢山开道	feng shan kai dao	7
逸兴遄飞	yi xing chuan fei	1
逸趣横生	yi qu heng sheng	1
逸闻趣事	yi wen qu shi	3
逼不得已	bi bu de yi	23
逼人太甚	bi ren tai shen	7
遇水架桥	yu shui jia qiao	1
遐迩闻名	xia er wen ming	8
道德文章	dao de wen zhang	3
道路以目	dao lu yi mu	6
道骨仙风	dao gu xian feng	3
道高一丈	dao gao yi zhang	3
道高一尺	dao gao yi chi	9
道高一尺魔高一丈	dao gao yi chi mo gao yi zhang	22
遗世独立	yi shi du li	6
遗患无穷	yi huan wu qiong	8
遗老遗少	yi lao yi shao	3
遥遥在望	yao yao zai wang	7
遥遥相对	yao yao xiang dui	11
遮人耳目	zhe ren er mu	1
避人耳目	bi ren er mu	4
避实击虚	bi shi ji xu	3
避而不谈	bi er bu tan	46
避难就易	bi nan jiu yi	6
邪不胜正	xie bu sheng zheng	23
郁郁不乐	yu yu bu le	6
郁郁不得志	yu yu bu de zhi	24
酒后失言	jiu hou shi yan	6
酒后无德	jiu hou wu de	1
酒池肉林	jiu chi rou lin	30
酒绿灯红	jiu lv deng hong	1
酒醉饭饱	jiu zui fan bao	6
酗酒滋事	xu jiu zi shi	9
酣然入梦	han ran ru meng	1
里勾外连	li gou wai lian	5
重于泰山	zhong yu tai shan	24
重建家园	chong jian jia yuan	46
重操旧业	chong cao jiu ye	20
重赏之下	zhong shang zhi xia	1
重赏之下必有勇夫	zhong shang zhi xia bi you yong fu	5
野火烧不尽	ye huo shao bu jin	44
量力而为	liang li er wei	28
量才录用	liang cai lu yong	2
金刚怒目	jin gang nu mu	3
金声玉振	jin sheng yu zhen	2
金无足赤	jin wu zu chi	1
金玉其外	jin yu qi wai	15
金玉其外败絮其中	jin yu qi wai bai xu qi zhong	13
金玉良缘	jin yu liang yuan	29
金风送爽	jin feng song shuang	1
金马碧鸡	jin ma bi ji	6
金鼓齐鸣	jin gu qi ming	1
釜底之鱼	fu di zhi yu	6
鉴往知来	jian wang zhi lai	1
针尖对麦芒	zhen jian dui mai mang	7
钩心斗角	gou xin dou jiao	1
钻心刺骨	zuan xin ci gu	1
钻木取火	zuan mu qu huo	41
铁嘴钢牙	tie zui gang ya	7
铁画银钩	tie hua yin gou	2
铁面无情	tie mian wu qing	7
铁马金戈	tie ma jin ge	1
铜壶滴漏	tong hu di lou	1
铩羽而归	sha yu er gui	26
铭心刻骨	ming xin ke gu	9
铭记不忘	ming ji bu wang	6
铮铮有声	zheng zheng you sheng	6
铮铮铁汉	zheng zheng tie han	4
银样镴枪头	yin yang la qiang tou	6
铸剑为犁	zhu jian wei li	5
铸成大错	zhu cheng da cuo	6
铺平道路	pu ping dao lu	27
铿锵有力	keng qiang you li	47
锄强扶弱	chu qiang fu ruo	10
错上加错	cuo shang jia cuo	15
锦绣山河	jin xiu shan he	2
锦绣江山	jin xiu jiang shan	5
锦绣河山	jin xiu he shan	5
长乐未央	chang le wei yang	6
长幼尊卑	chang you zun bei	7
长幼有序	chang you you xu	8
长歌当哭	chang ge dang ku	3
长江七号	chang jiang qi hao	20
长江天堑	chang jiang tian qian	3
长生不死	chang sheng bu si	17
长篇累牍	chang pian lei du	3
长足进展	chang zu jin zhan	3
长风破浪	chang feng po lang	4
门户之争	men hu zhi zheng	1
门户开放	men hu kai fang	23
门户洞开	men hu dong kai	4
门禁森严	men jin sen yan	8
闭口不言	bi kou bu yan	6
闭门不出	bi men bu chu	32
闭门读书	bi men du shu	13
问鼎中原	wen ding zhong yuan	7
闲杂人等	xian za ren deng	49
闲言闲语	xian yan xian yu	14
闻者足戒	wen zhe zu jie	1
闻风而至	wen feng er zhi	6
闻风而逃	wen feng er tao	2
防微虑远	fang wei lv yuan	8
防民之口	fang min zhi kou	2
防民之口甚于防川	fang min zhi kou shen yu fang chuan	4
阴曹地府	yin cao di fu	13
陈谷子烂芝麻	chen gu zi lan zhi ma	6
陌路相逢	mo lu xiang feng	2
降尊纡贵	jiang zun yu gui	6
降格以求	jiang ge yi qiu	9
险遭不测	xian zao bu ce	1
隐名埋姓	yin ming mai xing	2
隐忍不发	yin ren bu fa	1
隔行如隔山	ge hang ru ge shan	43
难乎其难	nan hu qi nan	7
难以为继	nan yi wei ji	43
难以企及	nan yi qi ji	17
难以名状	nan yi ming zhuang	11
难以挽回	nan yi wan hui	5
难以理喻	nan yi li yu	1
难以逆料	nan yi ni liao	6
难以预料	nan yi yu liao	34
难分难舍	nan fen nan she	11
难如登天	nan ru deng tian	11
难登大雅之堂	nan deng da ya zhi tang	10
雀屏中选	que ping zhong xuan	14
雁过留声	yan guo liu sheng	11
雄伟壮观	xiong wei zhuang guan	12
雄赳赳气昂昂	xiong jiu jiu qi ang ang	29
雍容典雅	yong rong dian ya	2
雍容大度	yong rong da du	2
雏鹰展翅	chu ying zhan chi	1
雕栏玉砌	diao lan yu qi	1
雕龙画凤	diao long hua feng	1
雨打风吹	yu da feng chui	7
雨淋日晒	yu lin ri shai	2
零乱不堪	ling luan bu kan	6
零零星星	ling ling xing xing	8
雷声大雨点小	lei sheng da yu dian xiao	30
雷电交加	lei dian jiao jia	43
雷霆一击	lei ting yi ji	1
震天动地	zhen tian dong di	4
霞光万道	xia guang wan dao	1
露出马脚	lu chu ma jiao	11
露水夫妻	lu shui fu qi	4
青云之志	qing yun zhi zhi	1
青出于蓝胜于蓝	qing chu yu lan sheng yu lan	25
青史留名	qing shi liu ming	1
青山不老	qing shan bu lao	5
青枝绿叶	qing zhi lv ye	2
青灯古佛	qing deng gu fo	9
青灯黄卷	qing deng huang juan	3
静若处子	jing ruo chu zi	48
非一日之寒	fei yi ri zhi han	1
非分之财	fei fen zhi cai	3
非同儿戏	fei tong er xi	1
非学无以广才	fei xue wu yi guang cai	1
非宁静无以致远	fei ning jing wu yi zhi yuan	4
非志无以成学	fei zhi wu yi cheng xue	6
非我族类	fei wo zu lei	13
非淡泊无以明志	fei dan bo wu yi ming zhi	2
靠天吃饭	kao tian chi fan	5
靠山吃山	kao shan chi shan	12
靠山吃山靠水吃水	kao shan chi shan kao shui chi shui	8
靠水吃水	kao shui chi shui	10
靡不有初	mi bu you chu	1
面不改色	mian bu gai se	9
面不改色心不跳	mian bu gai se xin bu tiao	7
面无人色	mian wu ren se	6
面有菜色	mian you cai se	6
面目可憎	mian mu ke zeng	27
面目狰狞	mian mu zheng ning	43
面红耳热	mian hong er re	6
鞠躬尽瘁死而后已	ju gong jin cui si er hou yi	7
韦编三绝	wei bian san jue	3
音信杳无	yin xin yao wu	6
音容宛在	yin rong wan zai	5
顷刻之间	qing ke zhi jian	5
项庄舞剑	xiang zhuang wu jian	1
项庄舞剑意在沛公	xiang zhuang wu jian yi zai pei gong	1
顺我者昌	shun wo zhe chang	8
顺我者昌逆我者亡	shun wo zhe chang ni wo zhe wang	1
顺时而动	shun shi er dong	1
顺水行舟	shun shui xing zhou	5
顺水顺风	shun shui shun feng	6
须发皆白	xu fa jie bai	3
顽固不化	wan gu bu hua	16
顾前不顾后	gu qian bu gu hou	2
顾头不顾尾	gu tou bu gu wei	1
顾盼生姿	gu pan sheng zi	2
顾盼生辉	gu pan sheng hui	6
顾盼自雄	gu pan zi xiong	6
顿足捶胸	dun zu chui xiong	6
颗粒无收	ke li wu shou	32
颜面扫地	yan mian sao di	10
颠簸不破	dian bo bu po	6
风中之烛	feng zhong zhi zhu	3
风云变色	feng yun bian se	9
风云际会	feng yun ji hui	6
风俗人情	feng su ren qing	5
风吹云散	feng chui yun san	4
风吹浪打	feng chui lang da	1
风声鹤唳草木皆兵	feng sheng he li cao mu jie bing	6
风尘女子	feng chen nv zi	27
风急浪高	feng ji lang gao	8
风月无边	feng yue wu bian	6
风流人物	feng liu ren wu	10
风流才子	feng liu cai zi	20
风流潇洒	feng liu xiao sa	8
风清月朗	feng qing yue lang	1
风清气爽	feng qing qi shuang	8
风牛马不相及	feng niu ma bu xiang ji	1
风行水上	feng xing shui shang	1
风行草偃	feng xing cao yan	6
风雨不改	feng yu bu gai	19
风霜雨雪	feng shuang yu xue	6
飒爽英姿	sa shuang ying zi	2
飞珠溅玉	fei zhu jian yu	6
飞龙在天	fei long zai tian	22
食不下咽	shi bu xia yan	28
食不厌精	shi bu yan jing	7
食不知味	shi bu zhi wei	26
食洋不化	shi yang bu hua	1
食而不化	shi er bu hua	6
食言而肥	shi yan er fei	7
餐风露宿	can feng lu su	3
餐风饮露	can feng yin lu	6
饕餮之徒	tao tie zhi tu	6
饭来张口	fan lai zhang kou	28
饮食男女	yin shi nan nv	45
饮食起居	yin shi qi ju	14
饮马长江	yin ma chang jiang	1
饱以老拳	bao yi lao quan	2
饱学之士	bao xue zhi shi	4
饱暖思淫欲	bao nuan si yin yu	7
饱经忧患	bao jing you huan	7
饱经风雨	bao jing feng yu	7
饱食终日	bao shi zhong ri	7
饶有兴味	rao you xing wei	9
饶有风趣	rao you feng qu	1
饿殍遍野	e piao bian ye	5
首善之地	shou shan zhi di	7
首尾两端	shou wei liang duan	4
首尾相连	shou wei xiang lian	15
香消玉殒	xiang xiao yu yun	12
香火不绝	xiang huo bu jue	3
香草美人	xiang cao mei ren	2
香车宝马	xiang che bao ma	3
马到功成	ma dao gong cheng	2
马前泼水	ma qian po shui	6
马放南山	ma fang nan shan	8
马革裹尸	ma ge guo shi	6
驰名世界	chi ming shi jie	3
驰名天下	chi ming tian xia	1
驰骋疆场	chi cheng jiang chang	1
驴头不对马嘴	lv tou bu dui ma zui	36
驷马难追	si ma nan zhui	46
驻颜有术	zhu yan you shu	13
驽马十驾	nu ma shi jia	1
骂不绝口	ma bu jue kou	9
骄傲自满	jiao ao zi man	31
骄兵必败	jiao bing bi bai	1
骇浪惊涛	hai lang jing tao	6
骚人墨客	sao ren mo ke	2
骨肉分离	gu rou fen li	9
骨肉团圆	gu rou tuan yuan	1
骨肉相残	gu rou xiang can	4
骨肉相连	gu rou xiang lian	27
骨肉离散	gu rou li san	6
骨肉至亲	gu rou zhi qin	1
高不可及	gao bu ke ji	1
高不成低不就	gao bu cheng di bu jiu	48
高人一筹	gao ren yi chou	7
高出一筹	gao chu yi chou	2
高头讲章	gao tou jiang zhang	6
高山峻岭	gao shan jun ling	1
高耸入云	gao song ru yun	26
高高挂起	gao gao gua qi	9
鬼话连篇	gui hua lian pian	22
魔高一丈	mo gao yi zhang	13
魔高一尺	mo gao yi chi	1
魔高一尺道高一丈	mo gao yi chi dao gao yi zhang	5
鱼水深情	yu shui shen qing	1
鱼肉乡里	yu rou xiang li	2
鱼肉百姓	yu rou bai xing	10
鱼贯而出	yu guan er chu	1
鱼贯而行	yu guan er xing	7
鱼跃龙门	yu yue long men	15
鲁难未已	lu nan wei yi	6
鲍鱼之肆	bao yu zhi si	8
鲜克有终	xian ke you zhong	3
鲜艳夺目	xian yan duo mu	2
鲜衣怒马	xian yi nu ma	42
鲤鱼跳龙门	li yu tiao long men	13
鲸吞蚕食	jing tun can shi	6
鸟为食亡	niao wei shi wang	6
鸡犬之声相闻	ji quan zhi sheng xiang wen	9
鸡鸣犬吠	ji ming quan fei	7
鸡鸣狗吠	ji ming gou fei	7
鸢飞鱼跃	yuan fei yu yue	2
鸾凤和鸣	luan feng he ming	3
鹬蚌相争	yu bang xiang zheng	15
鹰击长空	ying ji chang kong	1
麻姑献寿	ma gu xian shou	2
麻痹大意	ma bi da yi	1
麻雀虽小	ma que sui xiao	5
麻雀虽小五脏俱全	ma que sui xiao wu zang ju quan	9
黄发垂髫	huang fa chui tiao	8
黄粱一梦	huang liang yi meng	34
黄粱美梦	huang liang mei meng	3
黄钟大吕	huang zhong da lv	8
黄钟毁弃	huang zhong hui qi	6
黄雀在后	huang que zai hou	14
黑云压城城欲摧	hei yun ya cheng cheng yu cui	14
黑白混淆	hei bai hun xiao	6
默默不语	mo mo bu yu	9
默默无声	mo mo wu sheng	1
默默无语	mo mo wu yu	26
黯淡无光	an dan wu guang	37
黯然伤神	an ran shang shen	5
黯然销魂	an ran xiao hun	49
鼎新革故	ding xin ge gu	6
鼎足而三	ding zu er san	3
鼎足而立	ding zu er li	5
鼎鼎有名	ding ding you ming	2
鼓乐喧天	gu yue xuan tian	1
鼓乐齐鸣	gu yue qi ming	9
鼓足干劲	gu zu gan jin	6
鼻孔朝天	bi kong chao tian	6
鼻青眼肿	bi qing yan zhong	3
鼾声如雷	han sheng ru lei	16
齐家治国	qi jia zhi guo	16
齐心合力	qi xin he li	10
齐烟九点	qi yan jiu dian	3
齐驱并进	qi qu bing jin	6
齐齐整整	qi qi zheng zheng	20
龙生九子	long sheng jiu zi	6
龙生龙凤生凤	long sheng long feng sheng feng	1
龙盘虎踞	long pan hu ju	7
龙精虎猛	long jing hu meng	9
龙蛇混杂	long she hun za	6
龙马精神	long ma jing shen	1
