# 青简领域词库：历史人物，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
慕容德	mu rong de	42
慕容暐	mu rong wei	4
慕容永	mu rong yong	22
慕容泓	mu rong hong	8
慕容熙	mu rong xi	11
慕容皝	mu rong huang	35
慕容盛	mu rong sheng	26
慕容超	mu rong chao	40
慕容部	mu rong bu	6
慕容雪村	mu rong xue cun	7
慕容麟	mu rong lin	5
慧南	hui nan	5
慧能	hui neng	8
慧远	hui yuan	20
戈尔德施密特	ge er de shi mi te	2
戈汕	ge shan	2
戈涛	ge tao	4
戈耶切亚	ge ye qie ya	5
成乐	cheng le	23
成仿吾	cheng fang wu	15
成兆才	cheng zhao cai	2
成光	cheng guang	19
成妃	cheng fei	1
成宜	cheng yi	27
成宫宽贵	cheng gong kuan gui	9
成岭	cheng ling	3
成平	cheng ping	49
成廉	cheng lian	4
成无己	cheng wu ji	2
成昌	cheng chang	15
成泰燊	cheng tai shen	5
成济	cheng ji	10
成海璃子	cheng hai li zi	1
成濑心美	cheng lai xin mei	15
成田剑	cheng tian jian	4
成皋	cheng gao	49
成纪	cheng ji	37
成贵妃	cheng gui fei	2
成钧	cheng jun	22
成阳	cheng yang	9
戚海燕	qi hai yan	2
戚迹	qi ji	3
戴严	dai yan	3
戴之奇	dai zhi qi	16
戴仁	dai ren	6
戴光洁	dai guang jie	2
戴军	dai jun	17
戴叔伦	dai shu lun	3
戴名世	dai ming shi	4
戴员	dai yuan	15
戴均元	dai jun yuan	3
戴复古	dai fu gu	3
戴娇倩	dai jiao qian	30
戴学峰	dai xue feng	1
戴安澜	dai an lan	10
戴忠仁	dai zhong ren	3
戴明说	dai ming shuo	5
戴晓微	dai xiao wei	2
戴望舒	dai wang shu	8
戴浩	dai hao	3
戴熙	dai xi	6
戴爱莲	dai ai lian	5
戴睿	dai rui	2
戴礼	dai li	17
戴经	dai jing	3
戴维逊	dai wei xun	1
戴聪	dai cong	1
戴艺	dai yi	4
戴芳澜	dai fang lan	4
戴荣	dai rong	4
戴衢亨	dai qu heng	2
戴表元	dai biao yuan	3
戴谦	dai qian	6
戴进	dai jin	15
戴钧衡	dai jun heng	1
戴震	dai zhen	11
戴鹏飞	dai peng fei	5
户川纯	hu chuan chun	3
户田惠梨香	hu tian hui li xiang	41
房思瑜	fang si yu	5
房玄龄	fang xuan ling	46
房祖名	fang zu ming	16
房陵	fang ling	33
房龙	fang long	5
扁鹊	bian que	9
手塚治虫	shou zhong zhi chong	4
手岛优	shou dao you	1
才溢	cai yi	3
扎加洛	zha jia luo	6
扎卡里	zha ka li	39
托帕洛夫	tuo pa luo fu	5
托浑布	tuo hun bu	2
托马斯杰佛逊	tuo ma si jie fo xun	4
托马斯莫尔	tuo ma si mo er	3
执讯	zhi xun	3
扩廓帖木儿	kuo kuo tie mu er	16
扬武	yang wu	34
扬雄	yang xiong	16
承衣	cheng yi	2
折笠富美子	zhe li fu mei zi	16
押尾学	ya wei xue	4
拉姆斯菲尔德	la mu si fei er de	25
拉德布鲁赫	la de bu lu he	21
拉罗什福科	la luo shi fu ke	2
拉西德	la xi de	3
拓跋余	tuo ba yu	16
拓跋弘	tuo ba hong	38
拓跋濬	tuo ba jun	33
拔都	ba du	4
拖雷	tuo lei	36
招子庸	zhao zi yong	4
拳毛騧	quan mao gua	4
挹娄	yi lou	7
掌书	zhang shu	5
掾吏	yuan li	9
掾属	yuan shu	10
揆一	kui yi	20
揆叙	kui xu	5
摩根索	mo gen suo	35
摩索拉斯	mo suo la si	6
改琦	gai qi	5
放勋	fang xun	3
敖幼祥	ao you xiang	3
敖英	ao ying	3
敖陶孙	ao tao sun	1
敬一丹	jing yi dan	13
敬嫔	jing pin	15
敬帝	jing di	31
文丑	wen chou	6
文仪	wen yi	27
文伯仁	wen bo ren	1
文则	wen ze	44
文台	wen tai	5
文同	wen tong	7
文姬	wen ji	24
文幼章	wen you zhang	2
文彭	wen peng	1
文征明	wen zheng ming	23
文徵明	wen zheng ming	8
文怀沙	wen huai sha	20
文成公主	wen cheng gong zhu	42
文晸赫	wen zheng he	5
文沛然	wen pei ran	15
文泰来	wen tai lai	8
文洪	wen hong	5
文淑	wen shu	16
文点	wen dian	5
文然	wen ran	6
文聘	wen pin	9
文若	wen ruo	16
文谦	wen qian	43
文震亨	wen zhen heng	1
文震孟	wen zhen meng	7
斋藤义龙	zhai teng yi long	4
斋藤千穗	zhai teng qian sui	2
斋藤工	zhai teng gong	24
斋藤步	zhai teng bu	1
斛律光	hu lv guang	22
断事官	duan shi guan	19
斯卡罗尼	si ka luo ni	5
斯基拉奇	si ji la qi	26
斯塔夫里阿诺斯	si ta fu li a nuo si	7
斯塔比尔	si ta bi er	3
斯托伊奇科夫	si tuo yi qi ke fu	3
斯泰潘内克	si tai pan nei ke	29
斯琴塔日哈	si qin ta ri ha	4
斯琴格日乐	si qin ge ri le	1
斯琴高娃	si qin gao wa	35
斯维德伯格	si wei de bo ge	3
斯维德勒	si wei de le	4
斯蒂法诺	si di fa nuo	19
斯行健	si xing jian	1
新凤霞	xin feng xia	3
新息	xin xi	21
新贵人	xin gui ren	12
方东树	fang dong shu	1
方中信	fang zhong xin	29
方以智	fang yi zhi	16
方伯谦	fang bo qian	4
方元	fang yuan	17
方先觉	fang xian jue	7
方凤	fang feng	6
方刚	fang gang	24
方功惠	fang gong hui	2
方叔洪	fang shu hong	4
方哲	fang zhe	5
方回	fang hui	7
方国栋	fang guo dong	4
方士庶	fang shi shu	3
方壶	fang hu	13
方夏	fang xia	6
方夔	fang kui	2
方天丰	fang tian feng	1
方奇	fang qi	7
方婉仪	fang wan yi	2
方孝儒	fang xiao ru	4
方孝标	fang xiao biao	2
方寿	fang shou	6
方峻	fang jun	5
方延平	fang yan ping	2
方志敏	fang zhi min	35
方悦	fang yue	5
方成培	fang cheng pei	3
方扬	fang yang	6
方捷	fang jie	5
方新	fang xin	10
方朝	fang chao	9
方梅	fang mei	6
方槐	fang huai	3
方殿元	fang dian yuan	3
方泉	fang quan	12
方浚颐	fang jun yi	1
方润华	fang run hua	21
方淦	fang gan	5
方炯	fang jiong	16
方熊	fang xiong	5
方玉润	fang yu run	1
方珍	fang zhen	6
方登峄	fang deng yi	2
方纪	fang ji	8
方肇	fang zhao	3
方苞	fang bao	9
方薰	fang xun	2
方观	fang guan	1
方观承	fang guan cheng	1
方豪	fang hao	11
方钧	fang jun	1
方靖	fang jing	6
方鼎英	fang ding ying	12
於梨华	yu li hua	3
施世明	shi shi ming	3
施北衡	shi bei heng	6
施发	shi fa	8
施士洁	shi shi jie	3
施子清	shi zi qing	16
施存统	shi cun tong	17
施宜生	shi yi sheng	21
施小墨	shi xiao mo	3
施忠	shi zhong	6
施洋	shi yang	1
施源	shi yuan	2
施炎	shi yan	3
施瑞伯	shi rui bo	2
施瓦兹	shi wa zi	24
施耐庵	shi nai an	7
施蛰存	shi zhe cun	5
施达	shi da	13
无强	wu qiang	5
日南郡	ri nan jun	19
日御	ri yu	11
日章	ri zhang	44
时任三郎	shi ren san lang	16
时大彬	shi da bin	1
时寒冰	shi han bing	4
旻宁	min ning	5
昂山素姬	ang shan su ji	14
昆体良	kun ti liang	3
昆泽	kun ze	12
昇明	sheng ming	2
明中	ming zhong	8
明仁宗	ming ren zong	40
明代宗	ming dai zong	29
明光宗	ming guang zong	15
明升	ming sheng	7
明叔亮	ming shu liang	3
明太祖朱元璋	ming tai zu zhu yuan zhang	46
明怀	ming huai	1
明思宗	ming si zong	31
明惠帝	ming hui di	4
明日花	ming ri hua	37
明景帝	ming jing di	36
明智光秀	ming zhi guang xiu	40
明玉珍	ming yu zhen	24
明穆宗	ming mu zong	35
易中天	yi zhong tian	10
易军	yi jun	12
易卜生	yi bu sheng	41
易君左	yi jun zuo	3
易培基	yi pei ji	12
易安华	yi an hua	6
易宪容	yi xian rong	2
易慧	yi hui	2
易王	yi wang	5
易立	yi li	15
易简	yi jian	14
易茗	yi ming	4
易顺鼎	yi shun ding	4
昙华	tan hua	45
星瀚	xing han	5
星野亚希	xing ye ya xi	2
春日局	chun ri ju	21
春申君	chun shen jun	16
春野樱	chun ye ying	11
昭媛	zhao yuan	2
昭容	zhao rong	46
昴星	mao xing	42
显亲	xian qin	11
显道	xian dao	17
晁盖	chao gai	2
晁衡	chao heng	2
晁补之	chao bu zhi	3
晁错	chao cuo	16
晋侯	jin hou	18
晋厉侯	jin li hou	2
晋厉公	jin li gong	16
晋哀侯	jin ai hou	2
晋孝侯	jin xiao hou	2
晋定公	jin ding gong	12
晋平公	jin ping gong	16
晋废帝	jin fei di	4
晋康帝	jin kang di	10
晋怀帝	jin huai di	42
晋恭帝	jin gong di	20
晋悼公	jin dao gong	18
晋惠公	jin hui gong	31
晋愍帝	jin min di	30
晋成侯	jin cheng hou	1
晋成公	jin cheng gong	2
晋成帝	jin cheng di	45
晋文侯	jin wen hou	1
晋文公	jin wen gong	38
晋明帝	jin ming di	20
晋景公	jin jing gong	26
晋林波	jin lin bo	4
晋武侯	jin wu hou	1
晋灵公	jin ling gong	10
晋烈公	jin lie gong	3
晋献侯	jin xian hou	3
晋献公	jin xian gong	36
晋穆侯	jin mu hou	5
晋穆帝	jin mu di	24
晋襄公	jin xiang gong	17
晋靖侯	jin jing hou	3
晋静公	jin jing gong	2
晋顷公	jin qing gong	7
晏婴	yan ying	9
晏子	yan zi	11
晏安澜	yan an lan	3
晏明	yan ming	1
晏殊	yan shu	14
晨凫	chen fu	3
晨岚	chen lan	3
普尔塔	pu er ta	5
普拉蒂尼	pu la di ni	21
普斯卡什	pu si ka shen	13
普荷	pu he	19
普里戈金	pu li ge jin	3
普雷格尔	pu lei ge er	1
景元	jing yuan	49
景初	jing chu	33
景学义	jing xue yi	3
景岗山	jing gang shan	9
景炎	jing yan	22
景焕	jing huan	4
景王	jing wang	29
景耀	jing yao	35
智永	zhi yong	42
智融	zhi rong	2
曲向东	qu xiang dong	1
曲梁	qu liang	21
曲波	qu bo	12
曲阿	qu e	4
更始帝	geng shi di	24
曹中铭	cao zhong ming	8
曹丹丹	cao dan dan	5
曹仁虎	cao ren hu	1
曹休	cao xiu	31
曹侃	cao kan	4
曹健	cao jian	9
曹元忠	cao yuan zhong	6
曹元恒	cao yuan heng	2
曹克明	cao ke ming	2
曹冲	cao chong	14
曹刚川	cao gang chuan	6
曹叔	cao shu	3
曹喜蛙	cao xi wa	4
曹国舅	cao guo jiu	8
曹均	cao jun	7
曹增辉	cao zeng hui	7
曹大元	cao da yuan	3
曹大章	cao da zhang	3
曹奂	cao huan	17
曹子建	cao zi jian	3
曹孟德	cao meng de	1
曹学	cao xue	19
曹宇	cao yu	30
曹寇	cao kou	6
曹岳	cao yue	8
曹崧	cao song	8
曹嵩	cao song	8
曹建海	cao jian hai	6
曹彦	cao yan	4
曹彰	cao zhang	7
曹征	cao zheng	5
曹德	cao de	43
曹性	cao xing	5
曹恒	cao heng	4
曹据	cao ju	7
曹方	cao fang	4
曹日晖	cao ri hui	4
曹时中	cao shi zhong	2
曹显兵	cao xian bing	3
曹景行	cao jing xing	1
曹曦文	cao xi wen	6
曹曾	cao zeng	5
曹本荣	cao ben rong	1
曹枫	cao feng	3
曹森	cao sen	2
曹汝霖	cao ru lin	41
曹泰	cao tai	15
曹洪	cao hong	28
曹润堂	cao run tang	2
曹湘	cao xiang	6
曹溶	cao rong	3
曹熊	cao xiong	3
曹燕	cao yan	4
曹燕华	cao yan hua	15
曹爽	cao shuang	43
曹珏	cao jue	2
曹申吉	cao shen ji	2
曹盛洁	cao sheng jie	3
曹真	cao zhen	48
曹秀先	cao xiu xian	3
曹端	cao duan	5
曹素功	cao su gong	6
曹纯	cao chun	4
曹羲	cao xi	2
曹腾	cao teng	9
曹节	cao jie	36
曹荻秋	cao di qiu	24
曹薰铉	cao xun xuan	9
曹虹	cao hong	10
曹训	cao xun	1
曹谨	cao jin	3
曹豹	cao bao	3
曹辅	cao fu	4
曹远征	cao yuan zheng	10
曹鉴	cao jian	9
曹鉴冰	cao jian bing	2
曹铭	cao ming	17
曹锡宝	cao xi bao	1
曹锡璜	cao xi huang	2
曹阳	cao yang	15
曹阿瞒	cao a man	1
曹雪	cao xue	16
曹霖	cao lin	3
曹霸	cao ba	1
曹靖华	cao jing hua	14
曹颖	cao ying	16
曹鸿勋	cao hong xun	6
曼施坦因	man shi tan yin	19
曼施泰因	man shi tai yin	4
曼柏	man bai	6
曾万钟	zeng wan zhong	2
曾世荣	zeng shi rong	1
曾业辉	zeng ye hui	4
曾之乔	zeng zhi qiao	18
曾乔	zeng qiao	4
曾习经	zeng xi jing	1
曾会明	zeng hui ming	4
曾兰芳	zeng lan fang	3
曾凤仪	zeng feng yi	1
曾勉	zeng mian	4
曾参	zeng shen	33
曾国荃	zeng guo quan	38
曾士峨	zeng shi e	1
曾子	zeng zi	9
曾子航	zeng zi hang	7
曾孝谷	zeng xiao gu	4
曾宝仪	zeng bao yi	15
曾宝荪	zeng bao sun	5
曾宣	zeng xuan	3
曾宪锋	zeng xian feng	3
曾少宗	zeng shao zong	17
曾巩	zeng gong	14
曾庆祝	zeng qing zhu	1
曾廉	zeng lian	3
曾建徽	zeng jian hui	2
曾懿	zeng yi	3
曾春华	zeng chun hua	4
曾昭抡	zeng zhao lun	8
曾朴	zeng pu	2
曾泽生	zeng ze sheng	6
曾瀞漪	zeng jing yi	4
曾灿	zeng can	2
曾灿灯	zeng can deng	3
曾炜	zeng wei	1
曾炳权	zeng bing quan	3
曾玲	zeng ling	1
曾瑞	zeng rui	8
曾璜	zeng huang	5
曾祥金	zeng xiang jin	3
曾约农	zeng yue nong	1
曾纪泽	zeng ji ze	18
曾衍东	zeng yan dong	2
曾钊	zeng zhao	8
曾铣	zeng xian	19
曾铸	zeng zhu	8
曾黎	zeng li	8
月亮姐姐	yue liang jie jie	41
有冈大贵	you gang da gui	43
有森也实	you sen ye shi	1
有里知花	you li zhi hua	1
朋霍费尔	peng huo fei er	3
服部半藏	fu bu ban zang	11
朗缪尔	lang miu er	19
朗费罗	lang fei luo	10
朝仓音梦	chao cang yin meng	2
朝审	chao shen	16
朝田龙太郎	chao tian long tai lang	3
期思	qi si	19
木下惠介	mu xia hui jie	8
木华黎	mu hua li	38
木口亚矢	mu kou ya shi	4
木增	mu zeng	20
木子美	mu zi mei	25
木户孝允	mu hu xiao yun	8
木拉提	mu la ti	21
木村佳乃	mu cun jia nai	12
木村雅史	mu cun ya shi	6
末主	mo zhu	3
本乡奏多	ben xiang zou duo	9
本拉登	ben la deng	16
本木雅弘	ben mu ya hong	19
本田邦久	ben tian bang jiu	2
术赤	zhu chi	45
朱一新	zhu yi xin	9
朱世杰	zhu shi jie	2
朱东润	zhu dong run	6
朱为弼	zhu wei bi	2
朱丽娅	zhu li ya	3
朱之瑜	zhu zhi yu	1
朱之蕃	zhu zhi fan	3
朱之锡	zhu zhi xi	2
朱书	zhu shu	14
朱云卿	zhu yun qing	1
朱云辉	zhu yun hui	4
朱仁荣	zhu ren rong	2
朱伦瀚	zhu lun han	2
朱允炆	zhu yun wen	30
朱先	zhu xian	6
朱光亚	zhu guang ya	11
朱光潜	zhu guang qian	9
朱克靖	zhu ke jing	5
朱冲	zhu chong	21
朱凤标	zhu feng biao	3
朱剑凡	zhu jian fan	2
朱剑秋	zhu jian qiu	3
朱勇均	zhu yong jun	2
朱勋	zhu xun	1
朱升	zhu sheng	7
朱华	zhu hua	11
朱厚照	zhu hou zhao	13
朱厚熜	zhu hou cong	8
朱友珪	zhu you gui	35
朱友贞	zhu you zhen	44
朱可欣	zhu ke xin	4
朱右	zhu you	1
朱启南	zhu qi nan	3
朱启连	zhu qi lian	1
朱启钤	zhu qi qian	49
朱善	zhu shan	9
朱国盛	zhu guo sheng	1
朱坤	zhu kun	7
朱士勤	zhu shi qin	4
朱士林	zhu shi lin	3
朱大可	zhu da ke	1
朱奇伟	zhu qi wei	2
朱威廉	zhu wei lian	5
朱娜	zhu na	6
朱媛媛	zhu yuan yuan	3
朱孝天	zhu xiao tian	13
朱孝纯	zhu xiao chun	1
朱学增	zhu xue zeng	3
朱学范	zhu xue fan	38
朱守道	zhu shou dao	1
朱安禹	zhu an yu	3
朱宝善	zhu bao shan	2
朱实夫	zhu shi fu	23
朱家宝	zhu jia bao	13
朱少屏	zhu shao ping	1
朱岷	zhu min	4
朱峤	zhu jiao	3
朱常洛	zhu chang luo	17
朱庆元	zhu qing yuan	2
朱廷刚	zhu ting gang	3
朱建华	zhu jian hua	12
朱建新	zhu jian xin	1
朱异	zhu yi	26
朱彝尊	zhu yi zun	31
朱彭	zhu peng	1
朱彭年	zhu peng nian	2
朱德润	zhu de run	4
朱志尧	zhu zhi yao	3
朱戟	zhu ji	4
朱承	zhu cheng	19
朱承爵	zhu cheng jue	3
朱敦儒	zhu dun ru	4
朱文学	zhu wen xue	4
朱文泉	zhu wen quan	1
朱文涛	zhu wen tao	5
朱文清	zhu wen qing	6
朱斯特	zhu si te	8
朱方华	zhu fang hua	6
朱昂	zhu ang	3
朱昆田	zhu kun tian	2
朱易	zhu yi	19
朱晓东	zhu xiao dong	29
朱朗	zhu lang	5
朱本	zhu ben	3
朱术桂	zhu shu gui	8
朱朴	zhu pu	5
朱权	zhu quan	7
朱杰	zhu jie	24
朱桓	zhu huan	33
朱棣文	zhu di wen	15
朱次琦	zhu ci qi	2
朱永康	zhu yong kang	2
朱汝华	zhu ru hua	1
朱沆	zhu hang	3
朱治	zhu zhi	12
朱泳腾	zhu yong teng	6
朱洗	zhu xi	10
朱洵	zhu xun	1
朱淇	zhu qi	1
朱清时	zhu qing shi	5
朱澄	zhu cheng	2
朱瀚	zhu han	3
朱灵	zhu ling	11
朱烈	zhu lie	4
朱焱	zhu yan	6
朱然	zhu ran	30
朱照	zhu zhao	3
朱燮元	zhu xie yuan	45
朱玮杰	zhu wei jie	5
朱珪	zhu gui	1
朱理	zhu li	31
朱琏	zhu lian	10
朱琰	zhu yan	4
朱璟	zhu jing	3
朱生豪	zhu sheng hao	1
朱用纯	zhu yong chun	3
朱由校	zhu you jiao	2
朱由检	zhu you jian	17
朱由榔	zhu you lang	19
朱相宇	zhu xiang yu	3
朱真	zhu zhen	4
朱瞻基	zhu zhan ji	24
朱石麟	zhu shi lin	1
朱研	zhu yan	3
朱祁钰	zhu qi yu	13
朱祐樘	zhu you tang	9
朱祖祥	zhu zu xiang	5
朱祖谋	zhu zu mou	2
朱祺	zhu qi	1
朱端钧	zhu duan jun	3
朱筠	zhu yun	4
朱简	zhu jian	3
朱素臣	zhu su chen	3
朱绅	zhu shen	10
朱缨	zhu ying	3
朱翊钧	zhu yi jun	4
朱耷	zhu da	4
朱聿键	zhu yu jian	25
朱肱	zhu gong	2
朱能	zhu neng	4
朱芬	zhu fen	9
朱芳	zhu fang	24
朱芳雨	zhu fang yu	9
朱芾	zhu fu	2
朱芾煌	zhu fu huang	10
朱荃	zhu quan	2
朱虚	zhu xu	26
朱虹	zhu hong	23
朱裕	zhu yu	1
朱裳	zhu chang	3
朱见深	zhu jian shen	28
朱诚泳	zhu cheng yong	3
朱谌之	zhu chen zhi	3
朱谨	zhu jin	2
朱象贤	zhu xiang xian	2
朱赞	zhu zan	11
朱践耳	zhu jian er	1
朱轶	zhu yi	7
朱轼	zhu shi	1
朱载垕	zhu zai hou	2
朱载堉	zhu zai yu	1
朱载育	zhu zai yu	2
朱迅	zhu xun	19
朱邦	zhu bang	13
朱采	zhu cai	1
朱金兰	zhu jin lan	3
朱钦	zhu qin	5
朱钧	zhu jun	5
朱钰	zhu yu	1
朱铁	zhu tie	10
朱陵	zhu ling	1
朱霁青	zhu ji qing	14
朱震亨	zhu zhen heng	3
朱骏声	zhu jun sheng	1
朱高炽	zhu gao chi	18
朱鹤	zhu he	10
朱鼎玉	zhu ding yu	4
朱龄	zhu ling	4
朴俊奎	piao jun kui	1
朴勇宇	piao yong yu	2
朴永训	piao yong xun	10
朴海日	piao hai ri	10
朴真熙	piao zhen xi	3
朴趾源	piao zhi yuan	5
权相宇	quan xiang yu	2
权量	quan liang	3
杉内雅男	shan nei ya nan	6
杉原杏璃	shan yuan xing li	2
杉山纪彰	shan shan ji zhang	6
杉本有美	shan ben you mei	1
杉村春子	shan cun chun zi	10
李一氓	li yi mang	8
李万居	li wan ju	11
李世倬	li shi zhuo	2
李世泽	li shi ze	4
李世熊	li shi xiong	3
李世石	li shi shi	14
李世芳	li shi fang	1
李世英	li shi ying	4
李世龙	li shi long	4
李东奎	li dong kui	4
李东旭	li dong xu	13
李东波	li dong bo	1
李东生	li dong sheng	16
李东田	li dong tian	1
李东阳	li dong yang	24
李严	li yan	28
李中南	li zhong nan	2
李中师	li zhong shi	14
李中立	li zhong li	1
李丰永	li feng yong	3
李丹	li dan	33
李丽珊	li li shan	11
李丽珍	li li zhen	15
李义庭	li yi ting	3
李之芳	li zhi fang	7
李之龙	li zhi long	2
李书华	li shu hua	7
李井泉	li jing quan	34
李亚伟	li ya wei	1
李亚春	li ya chun	3
李亚蓉	li ya rong	4
李亚鹏	li ya peng	32
李亦雯	li yi wen	3
李亨	li heng	27
李亮	li liang	20
李仁堂	li ren tang	3
李仁孝	li ren xiao	3
李仍	li reng	9
李仕学	li shi xue	3
李仙得	li xian de	37
李仪祉	li yi zhi	4
李仲扬	li zhong yang	4
李伏	li fu	1
李众	li zhong	32
李伟文	li wei wen	5
李佐贤	li zuo xian	5
李作鹏	li zuo peng	22
李佳璘	li jia lin	3
李佳豫	li jia yu	13
李依桐	li yi tong	3
李俊基	li jun ji	2
李俊山	li jun shan	6
李俊慧	li jun hui	23
李俊民	li jun min	2
李保田	li bao tian	5
李修贤	li xiu xian	34
李倩妮	li qian ni	3
李健吾	li jian wu	4
李傻傻	li sha sha	1
李儇	li xuan	1
李儒	li ru	21
李元度	li yuan du	2
李元昊	li yuan hao	37
李元阳	li yuan yang	3
李元霸	li yuan ba	4
李兆年	li zhao nian	2
李兆洛	li zhao luo	1
李先芳	li xian fang	2
李光久	li guang jiu	5
李光地	li guang di	6
李光弼	li guang bi	45
李光斗	li guang dou	1
李公朴	li gong pu	22
李公麟	li gong lin	3
李兰娟	li lan juan	20
李兴春	li xing chun	1
李兵	li bing	14
李典	li dian	17
李再华	li zai hua	3
李再雯	li zai wen	1
李冬梅	li dong mei	1
李冲	li chong	30
李冶	li ye	1
李准基	li zhun ji	44
李凯年	li kai nian	2
李别	li bie	3
李劫	li jie	1
李劫夫	li jie fu	6
李劲然	li jing ran	3
李势	li shi	19
李华军	li hua jun	1
李华国	li hua guo	4
李南星	li nan xing	6
李卜克内西	li bu ke nei xi	38
李厚霖	li hou lin	8
李友太	li you tai	3
李友梅	li you mei	4
李叔同	li shu tong	23
李吉寿	li ji shou	2
李名	li ming	6
李呈祥	li cheng xiang	4
李和	li he	10
李响	li xiang	34
李善兰	li shan lan	2
李善长	li shan chang	10
李嘉欣	li jia xin	44
李嘉绩	li jia ji	2
李因	li yin	8
李因笃	li yin du	2
李固	li gu	48
李国勋	li guo xun	4
李国文	li guo wen	6
李国江	li guo jiang	5
李国良	li guo liang	9
李国训	li guo xun	3
李国豪	li guo hao	20
李圣天	li sheng tian	2
李坛	li tan	2
李坤军	li kun jun	4
李培林	li pei lin	3
李基宇	li ji yu	1
李塨	li gong	3
李士彬	li shi bin	2
李士桢	li shi zhen	1
李大亮	li da liang	5
李大嘴	li da zui	7
李大昌	li da chang	4
李天任	li tian ren	7
李天根	li tian gen	2
李天植	li tian zhi	3
李天馥	li tian fu	1
李好	li hao	8
李如一	li ru yi	5
李妍熙	li yan xi	5
李妍瑾	li yan jin	1
李妮娜	li ni na	9
李威克	li wei ke	3
李媛媛	li yuan yuan	29
李子亮	li zi liang	1
李子旸	li zi yang	2
李子雄	li zi xiong	27
李存信	li cun xin	5
李存孝	li cun xiao	17
李学川	li xue chuan	2
李学庆	li xue qing	1
李学林	li xue lin	11
李安全	li an quan	4
李宗信	li zong xin	2
李宗吾	li zong wu	4
李宗扬	li zong yang	5
李宗昉	li zong fang	6
李宗瀚	li zong han	3
李宗翰	li zong han	21
李宗黄	li zong huang	37
李宜芳	li yi fang	1
李宝嘉	li bao jia	2
李宝章	li bao zhang	15
李宪乔	li xian qiao	2
李家华	li jia hua	1
李家钰	li jia yu	10
李封	li feng	6
李小双	li xiao shuang	7
李小婉	li xiao wan	6
李少春	li shao chun	2
李少红	li shao hong	19
李尹桑	li yin sang	3
李屾	li shen	3
李岚清	li lan qing	30
李嵩	li song	31
李希特	li xi te	41
李常在	li chang zai	2
李平书	li ping shu	11
李广平	li guang ping	2
李广田	li guang tian	5
李庆良	li qing liang	5
李康华	li kang hua	1
李廷相	li ting xiang	2
李建兵	li jian bing	7
李开先	li kai xian	5
李开复	li kai fu	28
李开芳	li kai fang	5
李异	li yi	4
李弥	li mi	42
李彦宏	li yan hong	28
李彩虹	li cai hong	2
李德光	li de guang	3
李德孝	li de xiao	3
李德强	li de qiang	4
李德才	li de cai	6
李德旺	li de wang	1
李德林	li de lin	10
李德生	li de sheng	47
李德纯	li de chun	3
李德钢	li de gang	3
李心传	li xin chuan	3
李心怡	li xin yi	1
李心洁	li xin jie	25
李必蕃	li bi fan	1
李忱	li chen	9
李念慈	li nian ci	3
李怀民	li huai min	1
李思训	li si xun	3
李恂	li xun	18
李恒	li heng	40
李恕	li shu	11
李恢	li hui	15
李恩元	li en yuan	6
李恪	li ke	11
李悝	li kui	3
李惟淼	li wei miao	2
李惠堂	li hui tang	7
李想	li xiang	11
李惺	li xing	2
李意	li yi	23
李慈铭	li ci ming	10
李慎之	li shen zhi	8
李慧珍	li hui zhen	24
李戈	li ge	1
李成梁	li cheng liang	25
李承鹏	li cheng peng	4
李振清	li zhen qing	13
李振裕	li zhen yu	2
李攀龙	li pan long	4
李放	li fang	9
李政道	li zheng dao	24
李敦白	li dun bai	2
李敬思	li jing si	2
李敬泽	li jing ze	8
李文子	li wen zi	4
李文忠	li wen zhong	31
李文杰	li wen jie	29
